,Speaker,Utterance,Unified
5,M,"Oh, really?","M|Oh, really?"
36,A,"You think about it and it's really, I don't know. This country kind of takes the worst care of the elderly of any other country.","A|You think about it and it's really, I don't know. This country kind of takes the worst care of the elderly of any other country."
37,M,Right.,M|Right.
38,A,"And, It's really more of a, um, like a respect issue that the older, older people in other countries that I've been to seem to really have a lot more respect for the elderly people and, and they really seem as wise and, and in this country nobody really, Yeah, nobody really pays attention","A|And, It's really more of a, um, like a respect issue that the older, older people in other countries that I've been to seem to really have a lot more respect for the elderly people and, and they really seem as wise and, and in this country nobody really, Yeah, nobody really pays attention"
39,M,Yeah.,M|Yeah.
40,A,"and they, oh, the old-timer made with the old way and nobody respects the traditions. And, you know, it's I, I'm not saying that I do either but you know, it's just funny","A|and they, oh, the old-timer made with the old way and nobody respects the traditions. And, you know, it's I, I'm not saying that I do either but you know, it's just funny"
41,M,"Well, I guess I'm, I mean, I, it, I've, I was raised in a generation that didn't have this, you, you don't have to be so, um.","M|Well, I guess I'm, I mean, I, it, I've, I was raised in a generation that didn't have this, you, you don't have to be so, um."
42,A,"and, and we really don't have any that don't have the Social Security and everything really isn't that much for elderly people to live on.","A|and, and we really don't have any that don't have the Social Security and everything really isn't that much for elderly people to live on."
43,M,"Right, right.","M|Right, right."
44,A,"You know, even if they're in good health it's incredible.","A|You know, even if they're in good health it's incredible."
45,M,"Right, right.","M|Right, right."
46,A,"They don't have any, they don't get special treatment and maybe they should, you know because we're all going to get old someday.","A|They don't have any, they don't get special treatment and maybe they should, you know because we're all going to get old someday."
47,M,"Yeah, I agree with you there.","M|Yeah, I agree with you there."
48,A,"And so it's a, it's kind of a depressing topic though. How old are you?","A|And so it's a, it's kind of a depressing topic though. How old are you?"
49,M,"I'm, I'm twenty-eight.","M|I'm, I'm twenty-eight."
50,A,"So it is, yeah, and it must be rough for you too to see your grandmother.","A|So it is, yeah, and it must be rough for you too to see your grandmother."
51,M,"Yeah, it is.","M|Yeah, it is."
