,Speaker,Utterance,Unified
5,M,"So,","M|So,"
82,A,"But, um, I have, um, that, that was the majority of my writing although, um, I have also done oh, free lance magazine writing and some educational writing. And, um, for a while I had a, um, uh, a partnership with a, in an advertising agency with another woman who is a, an artist. So I did some advertising and P R but,","A|But, um, I have, um, that, that was the majority of my writing although, um, I have also done oh, free lance magazine writing and some educational writing. And, um, for a while I had a, um, uh, a partnership with a, in an advertising agency with another woman who is a, an artist. So I did some advertising and P R but,"
83,M,"Oh, really?","M|Oh, really?"
84,A,"um, now I'm, actually I'm, I'm not working anymore. I'm a student, I'm a graduate student so I'm doing a lot of writing but, uh, now all of the scholastic majors though,","A|um, now I'm, actually I'm, I'm not working anymore. I'm a student, I'm a graduate student so I'm doing a lot of writing but, uh, now all of the scholastic majors though,"
85,M,Uh-huh.,M|Uh-huh.
86,A,"I've done a little, a lot of different kinds, but I, I just know right now that I couldn't have put out half of what I did if that much without the being in computers so that's been really great. And, uh, I'm, so I'm real spoiled.","A|I've done a little, a lot of different kinds, but I, I just know right now that I couldn't have put out half of what I did if that much without the being in computers so that's been really great. And, uh, I'm, so I'm real spoiled."
87,M,"Yeah, yeah.","M|Yeah, yeah."
88,A,Yeah.,A|Yeah.
89,M,"It's, uh","M|It's, uh"
90,A,Uh-huh. Yeah.,A|Uh-huh. Yeah.
91,M,"It's just that I'm so anxious to get back into it, to get it going again.","M|It's just that I'm so anxious to get back into it, to get it going again."
92,A,Good.,A|Good.
93,M,"so she's learned how to do that and she's got the same level of interest, you know, as I do.","M|so she's learned how to do that and she's got the same level of interest, you know, as I do."
94,A,That's great.,A|That's great.
95,M,"So, uh, I've got two little kids and, uh  they're both in preschool.","M|So, uh, I've got two little kids and, uh  they're both in preschool."
96,A,Yeah.,A|Yeah.
97,M,"!!!%!! RemindMe!! remindMe!et!!argent!! alarm!! command!!list!!all!!range!!sv!!action!!body!!get!!function!!upper!! Subter!! upgrade!!xt!!?!!func!! variable!!important!!this!! This!!you!!You!!Okay!!I!!etesting!!Have!!We!!And!!!,!!That!!Absolutely!!My!! Auto!!atic!!%%!!est!!Do!!Right!! That!!","M|!!!%!! RemindMe!! remindMe!et!!argent!! alarm!! command!!list!!all!!range!!sv!!action!!body!!get!!function!!upper!! Subter!! upgrade!!xt!!?!!func!! variable!!important!!this!! This!!you!!You!!Okay!!I!!etesting!!Have!!We!!And!!!,!!That!!Absolutely!!My!! Auto!!atic!!%%!!est!!Do!!Right!! That!!"
98,A,"Well, those are skills that she certainly is going to need early on and, you know, the, and it seems like it's getting earlier and earlier with the children.","A|Well, those are skills that she certainly is going to need early on and, you know, the, and it seems like it's getting earlier and earlier with the children."
99,M,Uh-huh.,M|Uh-huh.
100,A,"So, um, I think that that would be a real, a real, uh, advantage to, to her to have that and, uh, do it early,","A|So, um, I think that that would be a real, a real, uh, advantage to, to her to have that and, uh, do it early,"
101,M,Uh-huh.,M|Uh-huh.
102,A,"so. Uh, do","A|so. Uh, do"
103,M,Do you have any children?,M|Do you have any children?
104,A,"Oh, neat.","A|Oh, neat."
105,M,"Uh, but, uh.","M|Uh, but, uh."
106,A,"Yes. Right. Oh, great.","A|Yes. Right. Oh, great."
107,M,"So, she's, she, she does a lot of that.","M|So, she's, she, she does a lot of that."
108,A,Right,A|Right
109,M,"and so,","M|and so,"
110,A,"That's great. Well, that's a, that's a skill that she can use for the rest of her life, so Might as well start now, huh?","A|That's great. Well, that's a, that's a skill that she can use for the rest of her life, so Might as well start now, huh?"
111,M,"That, that, that would be, that'd be the only thing, I guess, that we would do to her, is, you know, if we could just have her, you, know, like your grandmother, or whatever.","M|That, that, that would be, that'd be the only thing, I guess, that we would do to her, is, you know, if we could just have her, you, know, like your grandmother, or whatever."
112,A,"Well, Nola I have enjoyed talking with you thoroughly. This is really going to be fun I think,","A|Well, Nola I have enjoyed talking with you thoroughly. This is really going to be fun I think,"
113,M,"It's going to, it's going be fun.","M|It's going to, it's going be fun."
114,A,"and, um, my husband is a ham radio operator and I think about all the people that he talks to all over the,","A|and, um, my husband is a ham radio operator and I think about all the people that he talks to all over the,"
