,Speaker,Utterance,Unified
5,M,Uh-huh.,M|Uh-huh.
32,A,"And I've thought for years it would make a lot of sense to create an eight hundred number for voters to call and, and vent their frustration with government. Like one, eight hundred capitol or something like that. You know, just a number you could call from anywhere, anytime.","A|And I've thought for years it would make a lot of sense to create an eight hundred number for voters to call and, and vent their frustration with government. Like one, eight hundred capitol or something like that. You know, just a number you could call from anywhere, anytime."
33,M,Yeah.,M|Yeah.
34,A,"I think that's coming and I think once, once people really start to communicate how they feel, things are going to change. Until then, I think, you know, it's going to be really painful. So the question is, how soon are we going to start to get our money's worth and, as you said, it's how soon we get involved, and I think we need to create mechanisms to allow us to get involved, like allowing us to call a toll free number and say, hey, look, do it this way, not that way, or I like this, or I don't like that, or this is how I feel about your spending my money on art that I don't think is art.","A|I think that's coming and I think once, once people really start to communicate how they feel, things are going to change. Until then, I think, you know, it's going to be really painful. So the question is, how soon are we going to start to get our money's worth and, as you said, it's how soon we get involved, and I think we need to create mechanisms to allow us to get involved, like allowing us to call a toll free number and say, hey, look, do it this way, not that way, or I like this, or I don't like that, or this is how I feel about your spending my money on art that I don't think is art."
35,M,"Well, I, I agree with you. I think the thing is that, uh, when you call the eight hundred dollar number, you don't have to, uh","M|Well, I, I agree with you. I think the thing is that, uh, when you call the eight hundred dollar number, you don't have to, uh"
36,A,"Well, that's the good thing about what is happening because I think more and more the news media, which takes a heck of a beating and, and deserves some of it, is telling us, you know, about the problems. So the more we communicate, hey, look, we want a change here, because, you know, as it turns out, we've wasted a tremendous amount of money on our defense spending in this country.","A|Well, that's the good thing about what is happening because I think more and more the news media, which takes a heck of a beating and, and deserves some of it, is telling us, you know, about the problems. So the more we communicate, hey, look, we want a change here, because, you know, as it turns out, we've wasted a tremendous amount of money on our defense spending in this country."
37,M,Right.,M|Right.
38,A,Over a very long period of time.,A|Over a very long period of time.
39,M,Yeah.,M|Yeah.
40,A,"Uh, and, uh,","A|Uh, and, uh,"
41,M,"Well, what do you think about the, uh...","M|Well, what do you think about the, uh..."
42,A,Right.,A|Right.
43,M,"And, uh.","M|And, uh."
44,A,"Yeah. Well, you may be right. What I think is really going to be interesting is to see how, uh, we as a society deal with it and I, and I think it is, what you say, it's, it's a,","A|Yeah. Well, you may be right. What I think is really going to be interesting is to see how, uh, we as a society deal with it and I, and I think it is, what you say, it's, it's a,"
