,Speaker,Utterance,Unified
5,M,Yeah.,M|Yeah.
46,A,"I don't know how much they get when they sell all that stuff. The center that they've got now where you take your stuff in I, I think that should be making some money. Since they just have to hire someone to man it a few hours a week.","A|I don't know how much they get when they sell all that stuff. The center that they've got now where you take your stuff in I, I think that should be making some money. Since they just have to hire someone to man it a few hours a week."
47,M,"Well, that's, that, that would be good.","M|Well, that's, that, that would be good."
48,A,"And they sell, I guess they sell everything to some waste company that comes and gets it.","A|And they sell, I guess they sell everything to some waste company that comes and gets it."
49,M,"Well, that's true.","M|Well, that's true."
50,A,"But I wish that, uh, more of the cans, you know, like the cans you buy vegetables and fruit and stuff like that in were recyclable. I don't, a lot of that's that recyclable steel and I don't know anybody that takes that.","A|But I wish that, uh, more of the cans, you know, like the cans you buy vegetables and fruit and stuff like that in were recyclable. I don't, a lot of that's that recyclable steel and I don't know anybody that takes that."
51,M,Right.,M|Right.
52,A,"my husband likes Pepsi and those cans are steel instead of aluminum, so we can't, can't ever recycle them. I think it's a good reason to quit buying it.","A|my husband likes Pepsi and those cans are steel instead of aluminum, so we can't, can't ever recycle them. I think it's a good reason to quit buying it."
53,M,"I don't think it would be any better, because you wouldn't be able to throw it away.","M|I don't think it would be any better, because you wouldn't be able to throw it away."
54,A,"Yeah, that's what we buy the most of, unless we're going on a trip or something where we want to, put the cans in a cooler","A|Yeah, that's what we buy the most of, unless we're going on a trip or something where we want to, put the cans in a cooler"
55,M,Uh-huh.,M|Uh-huh.
56,A,"But, well that's all I can really think about for recycling.","A|But, well that's all I can really think about for recycling."
57,M,Uh-huh.,M|Uh-huh.
58,A,It was good talking to you.,A|It was good talking to you.
59,M,You too.,M|You too.
60,A,"Uh, bye.","A|Uh, bye."
61,M,Bye-bye.,M|Bye-bye.
