,Speaker,Utterance,Unified
5,M,What part?,M|What part?
34,A,Yeah,A|Yeah
35,M,"I'm in the process of, uh","M|I'm in the process of, uh"
36,A,"I can hear the accent now I hear the I hear the Western Pennsylvania, um.","A|I can hear the accent now I hear the I hear the Western Pennsylvania, um."
37,M,"Oh, yeah, I've, I, I grew up in western Pennsylvania,","M|Oh, yeah, I've, I, I grew up in western Pennsylvania,"
38,A,"We live, uh, we lived in Minneapolis for about five years.","A|We live, uh, we lived in Minneapolis for about five years."
39,M,"Oh, okay.","M|Oh, okay."
40,A,"We, we originally lived in Dallas and we met and got married","A|We, we originally lived in Dallas and we met and got married"
41,M,Uh.,M|Uh.
42,A,"and then, um, actually married in Pittsburgh, and that's, that's not what they want to hear on this call, uh","A|and then, um, actually married in Pittsburgh, and that's, that's not what they want to hear on this call, uh"
43,M,"Oh, really?","M|Oh, really?"
44,A,"at any rate we came back here with, my husband was transferred around, uh, up to Minnesota and now back to Texas with T I","A|at any rate we came back here with, my husband was transferred around, uh, up to Minnesota and now back to Texas with T I"
45,M,Uh.,M|Uh.
46,A,"and we're leasing a, uh, two story town home in a section of Dallas they call North Dallas.","A|and we're leasing a, uh, two story town home in a section of Dallas they call North Dallas."
47,M,"Oh, yeah.","M|Oh, yeah."
48,A,"And it's, uh, near a little town called Plano, well, it's not little any more.","A|And it's, uh, near a little town called Plano, well, it's not little any more."
49,M,"Uh, that's right.","M|Uh, that's right."
50,A,"Uh, yes, that's out near the airport. That's about forty-five miles from us.","A|Uh, yes, that's out near the airport. That's about forty-five miles from us."
51,M,That's a long ways.,M|That's a long ways.
52,A,"It's, yeah, That's why we not sure, we, we're not sure we want to, uh, buy down here, because we actually, we lived up north long enough to appreciate the, um, *listen--one utt? Minneapolis-Saint Paul is very clean","A|It's, yeah, That's why we not sure, we, we're not sure we want to, uh, buy down here, because we actually, we lived up north long enough to appreciate the, um, *listen--one utt? Minneapolis-Saint Paul is very clean"
53,M,Uh-huh.,M|Uh-huh.
54,A,"you know, in terms of, *listen; with previous slash unit? and in terms of housing down here, um, you really have your pick but it's just everything's overpriced for the economy.","A|you know, in terms of, *listen; with previous slash unit? and in terms of housing down here, um, you really have your pick but it's just everything's overpriced for the economy."
55,M,"Uh, well, I, I agree with you. I, uh I think that, uh","M|Uh, well, I, I agree with you. I, uh I think that, uh"
56,A,"It really is, I mean we're, we're in a leased town home, and it's, uh, you're probably, your teeth will probably fall out figuratively speaking, it's nine hundred a month.","A|It really is, I mean we're, we're in a leased town home, and it's, uh, you're probably, your teeth will probably fall out figuratively speaking, it's nine hundred a month."
57,M,"Yeah, yeah.","M|Yeah, yeah."
58,A,"But, you know what, if you, if you get anything under five hundred you get into what they call high density living you know, the big apartment complexes","A|But, you know what, if you, if you get anything under five hundred you get into what they call high density living you know, the big apartment complexes"
59,M,Yeah.,M|Yeah.
60,A,"and, and I just have no tolerance for that.","A|and, and I just have no tolerance for that."
61,M,Yeah.,M|Yeah.
62,A,No.,A|No.
63,M,"but, uh, I don't know, I think, uh","M|but, uh, I don't know, I think, uh"
64,A,"Yeah this is, it's like a duplex, like a two by two they call it like in Pittsburgh.","A|Yeah this is, it's like a duplex, like a two by two they call it like in Pittsburgh."
65,M,Uh-huh.,M|Uh-huh.
66,A,"And it's nice but it's, I mean, the girl bought it for a hundred and ten, and now she can't sell it. And our neighbors,","A|And it's nice but it's, I mean, the girl bought it for a hundred and ten, and now she can't sell it. And our neighbors,"
67,M,Uh-hau.,M|Uh-hau.
68,A,"Yeah, I mean, we'll, our neighbors, the attached on the other side, they're very nice, thank God,","A|Yeah, I mean, we'll, our neighbors, the attached on the other side, they're very nice, thank God,"
69,M,Yeah.,M|Yeah.
70,A,they paid fifty-eight for it.,A|they paid fifty-eight for it.
71,M,"Oh, my goodness.","M|Oh, my goodness."
72,A,"That's how bad it, I know.","A|That's how bad it, I know."
73,M,"Yeah, yeah, well, I don't know. I donno, I, I just, I guess I donate to the, the, uh, the school system, and I, and, and the, and it's, it's just been so poorly run, and and, uh.","M|Yeah, yeah, well, I don't know. I donno, I, I just, I guess I donate to the, the, uh, the school system, and I, and, and the, and it's, it's just been so poorly run, and and, uh."
74,A,"That's right. Uh-huh, yeah. I have some friends that live in Westport and it's really, really bad. I mean you,","A|That's right. Uh-huh, yeah. I have some friends that live in Westport and it's really, really bad. I mean you,"
75,M,Yeah.,M|Yeah.
76,A,Uh-huh.,A|Uh-huh.
77,M,but it's a good house.,M|but it's a good house.
78,A,"How far, where is Clarion County in relation to, actually, because we're considering moving to Pennsylvania","A|How far, where is Clarion County in relation to, actually, because we're considering moving to Pennsylvania"
79,M,"Uh, well, Clarion is about an hour and a half away.","M|Uh, well, Clarion is about an hour and a half away."
80,A,That's not too bad. That's north.,A|That's not too bad. That's north.
81,M,Yeah.,M|Yeah.
82,A,"Are you going up toward, uh, uh, I'm trying to think of the name of that town that starts with an M, Bradford, no that's too far north.","A|Are you going up toward, uh, uh, I'm trying to think of the name of that town that starts with an M, Bradford, no that's too far north."
83,M,Uh-huh.,M|Uh-huh.
84,A,"So you're, you're not that far north then, okay.","A|So you're, you're not that far north then, okay."
85,M,"Yeah, it is. It's about twenty miles north of, uh, Washington D C.","M|Yeah, it is. It's about twenty miles north of, uh, Washington D C."
86,A,"Well, you're really not too bad. Yeah.","A|Well, you're really not too bad. Yeah."
87,M,!!!%!! RemindMe!! remindMe!%,M|!!!%!! RemindMe!! remindMe!%
88,A,"Um, was it a home that you've had for quite a few years, or that you've,","A|Um, was it a home that you've had for quite a few years, or that you've,"
89,M,"No. It was, uh, a home where my mother was living at the time.","M|No. It was, uh, a home where my mother was living at the time."
90,A,"Oh, then you have, yeah. Do you have a lot of land or,","A|Oh, then you have, yeah. Do you have a lot of land or,"
91,M,"Yeah, we have a, uh, well, we're close to a lake, so we have quite a lot.","M|Yeah, we have a, uh, well, we're close to a lake, so we have quite a lot."
92,A,"Oh, my, well, then.","A|Oh, my, well, then."
93,M,"Yeah, but we have, we do have a garden here.","M|Yeah, but we have, we do have a garden here."
94,A,"There you go. Did you have a hard time getting used to, do you feel like you live in an isolated area or,","A|There you go. Did you have a hard time getting used to, do you feel like you live in an isolated area or,"
95,M,"Well, I, I live in a small town.","M|Well, I, I live in a small town."
96,A,"Yeah, I think that that's, um, I can remember in Pittsburgh when, this has to do with homes, uh, indirectly but I can remember when Upper Saint Clair was out in the, you know, the rural end of Washington,","A|Yeah, I think that that's, um, I can remember in Pittsburgh when, this has to do with homes, uh, indirectly but I can remember when Upper Saint Clair was out in the, you know, the rural end of Washington,"
97,M,Uh-huh.,M|Uh-huh.
98,A,and now it's it's a terrible connection.,A|and now it's it's a terrible connection.
99,M,"Uh, yeah, I, I don't know, it's, it, it just seems like, like I donno, I'm, I grew up in the south, and I think it's mostly, you, you have more of a southern draw, and a southern accent, and you don't hear anybody outside of your immediate family.","M|Uh, yeah, I, I don't know, it's, it, it just seems like, like I donno, I'm, I grew up in the south, and I think it's mostly, you, you have more of a southern draw, and a southern accent, and you don't hear anybody outside of your immediate family."
100,A,"Oh, well that's okay, um,","A|Oh, well that's okay, um,"
101,M,"So,","M|So,"
102,A,"But, but, yeah, substantially, you know. Um, do you like living in an older home and restoring it like that?","A|But, but, yeah, substantially, you know. Um, do you like living in an older home and restoring it like that?"
103,M,!!!%!! Remind me that's a real good idea.,M|!!!%!! Remind me that's a real good idea.
104,A,How big is it? How many square feet do you have?,A|How big is it? How many square feet do you have?
105,M,"It's about a square foot and, and, uh, it's, it, it has the, uh the, the nice big three rooms and,","M|It's about a square foot and, and, uh, it's, it, it has the, uh the, the nice big three rooms and,"
106,A,"Well how many rooms do you think, yeah?","A|Well how many rooms do you think, yeah?"
107,M,"I don't know, I don't think I could fit everything in.","M|I don't know, I don't think I could fit everything in."
108,A,Uh-huh.,A|Uh-huh.
109,M,"and we have one on the other side of the den, and, uh we have a den that's completely filled with other people's stuff, and I think that's the only thing that we really have trouble with is the bedrooms because, you know, it's not really a den but a, it kind of like a, a, you're not really supposed to be looking at the bedrooms, you just want to be there to be entertained,","M|and we have one on the other side of the den, and, uh we have a den that's completely filled with other people's stuff, and I think that's the only thing that we really have trouble with is the bedrooms because, you know, it's not really a den but a, it kind of like a, a, you're not really supposed to be looking at the bedrooms, you just want to be there to be entertained,"
110,A,Uh-huh.,A|Uh-huh.
111,M,"And then we have an outside area that we put up, and we put a, a pool, and then we put another one up. And then we're supposed to go swimming, but it's, it's not enclosed, so we have to shut it off.","M|And then we have an outside area that we put up, and we put a, a pool, and then we put another one up. And then we're supposed to go swimming, but it's, it's not enclosed, so we have to shut it off."
112,A,"A junk room, yeah I understand, we have that too. That's, that's large if your children aren't at home any more.","A|A junk room, yeah I understand, we have that too. That's, that's large if your children aren't at home any more."
113,M,"Yeah, well, mine are, and they, and I've got two other children, so they're both grown and I don't have a lot of spare time either.","M|Yeah, well, mine are, and they, and I've got two other children, so they're both grown and I don't have a lot of spare time either."
114,A,That's large if your kids aren't at home any more.,A|That's large if your kids aren't at home any more.
115,M,"Uh-uh. Well, that, that is, that can be, uh...","M|Uh-uh. Well, that, that is, that can be, uh..."
116,A,Uh-huh.,A|Uh-huh.
117,M,"we've got a couple of houses around our neighborhood that are really nice, and the one I'm in, it doesn't have a basement.","M|we've got a couple of houses around our neighborhood that are really nice, and the one I'm in, it doesn't have a basement."
118,A,It's enough space for two people Yeah.,A|It's enough space for two people Yeah.
119,M,"Yeah, I'm, I like that idea.","M|Yeah, I'm, I like that idea."
120,A,"Oh, okay.","A|Oh, okay."
121,M,"So, I don't know, I guess that's, I think that's a, a, that's an advantage of having a smaller house, I mean, it doesn't necessarily have to be bigger, it's just the fact that it's close enough to the house to the school.","M|So, I don't know, I guess that's, I think that's a, a, that's an advantage of having a smaller house, I mean, it doesn't necessarily have to be bigger, it's just the fact that it's close enough to the house to the school."
122,A,"Yeah, right. That's okay. Well, we've got, um, this town house is pretty big. It's about eighteen hundred square feet. It's got three bedrooms, two and a half baths","A|Yeah, right. That's okay. Well, we've got, um, this town house is pretty big. It's about eighteen hundred square feet. It's got three bedrooms, two and a half baths"
123,M,Uh-huh.,M|Uh-huh.
124,A,"um, it's really nice.","A|um, it's really nice."
125,M,Wow.,M|Wow.
126,A,"Yeah, it is, I mean, I would never buy it but leasing it is fine.","A|Yeah, it is, I mean, I would never buy it but leasing it is fine."
127,M,"Oh, is that right?","M|Oh, is that right?"
128,A,"Um, but, it's just again, the, the privacy, you know. Um, we had a house in Minneapolis that was on three acres, and my husband was raised, um, on a working farm near","A|Um, but, it's just again, the, the privacy, you know. Um, we had a house in Minneapolis that was on three acres, and my husband was raised, um, on a working farm near"
129,M,Uh.,M|Uh.
130,A,"right, near Dayton, Ohio, and he said, you know, he's, he's slowly getting me to, um, not feel isolated if we move to where there's more land.","A|right, near Dayton, Ohio, and he said, you know, he's, he's slowly getting me to, um, not feel isolated if we move to where there's more land."
131,M,Oh.,M|Oh.
132,A,Right.,A|Right.
133,M,"but, uh, I, I don't know, I just, I really don't have any, any strong feelings one way or the other about it.","M|but, uh, I, I don't know, I just, I really don't have any, any strong feelings one way or the other about it."
134,A,Uh-huh.,A|Uh-huh.
135,M,"And, uh.","M|And, uh."
136,A,"That's kind of what, like his parents have, uh, land that they retired to, um, about a hundred miles out of Atlanta and, in Georgia,","A|That's kind of what, like his parents have, uh, land that they retired to, um, about a hundred miles out of Atlanta and, in Georgia,"
137,M,Uh.,M|Uh.
138,A,"and it is too far south for me,","A|and it is too far south for me,"
139,M,Um.,M|Um.
140,A,"but, um, um, but I mean, they have one of the, um, when they said log cabin, I just laughed, that they retired to, but they built one of these. I mean, it's just beautiful. It's like a custom, you know it's not like what I would think of when I think of old log cabins. You know, I mean, it's modern it's,","A|but, um, um, but I mean, they have one of the, um, when they said log cabin, I just laughed, that they retired to, but they built one of these. I mean, it's just beautiful. It's like a custom, you know it's not like what I would think of when I think of old log cabins. You know, I mean, it's modern it's,"
141,M,Yeah.,M|Yeah.
142,A,"Right, right, it's modern, it's beautiful, it's country","A|Right, right, it's modern, it's beautiful, it's country"
143,M,Yeah.,M|Yeah.
144,A,"it's you know, um, but, uh, I don't, what else about housing except it's, uh, well, Pittsburgh's housing economy, I think it's holding it's own.","A|it's you know, um, but, uh, I don't, what else about housing except it's, uh, well, Pittsburgh's housing economy, I think it's holding it's own."
145,M,"Yeah, well they, they're building a new stadium downtown, and they're going to, uh.","M|Yeah, well they, they're building a new stadium downtown, and they're going to, uh."
146,A,"What part, what sections are they in? Yeah, that's nice.","A|What part, what sections are they in? Yeah, that's nice."
147,M,!!!%!! Remind me of that now.,M|!!!%!! Remind me of that now.
148,A,Great.,A|Great.
149,M,"!!!!,!!%!! Remind me of that one.","M|!!!!,!!%!! Remind me of that one."
150,A,Uh-huh.,A|Uh-huh.
151,M,"But it's still, it's, it still works fine.","M|But it's still, it's, it still works fine."
152,A,"Uh-huh. That's, yeah, a really good friend of mine lives in Penn Hills, and they've been in their house, oh, probably about twelve years now","A|Uh-huh. That's, yeah, a really good friend of mine lives in Penn Hills, and they've been in their house, oh, probably about twelve years now"
153,M,Uh.,M|Uh.
154,A,"and, um, it's, it's, you know, they're going to start to see their return on their investment very soon.","A|and, um, it's, it's, you know, they're going to start to see their return on their investment very soon."
155,M,"Oh, I would think so.","M|Oh, I would think so."
156,A,"Um, but it's a beautiful home and, I mean, my brother lives,","A|Um, but it's a beautiful home and, I mean, my brother lives,"
157,M,"Uh, how about you?","M|Uh, how about you?"
158,A,is it called Baldwin or Bebble?,A|is it called Baldwin or Bebble?
159,M,!!!%!! translated,M|!!!%!! translated
160,A,"I mean, he lives all in that same area going from Mount Lebanon, um, it's real pretty up there. It's just,","A|I mean, he lives all in that same area going from Mount Lebanon, um, it's real pretty up there. It's just,"
161,M,"Oh, I see.","M|Oh, I see."
162,A,And the neighborhoods are stable you know.,A|And the neighborhoods are stable you know.
163,M,"Uh, so, so you're just out of the loop.","M|Uh, so, so you're just out of the loop."
164,A,"It's, uh, when you come to this part of the country, we've been away from Dallas long enough that you see the difference in housing.","A|It's, uh, when you come to this part of the country, we've been away from Dallas long enough that you see the difference in housing."
165,M,"Oh, yeah.","M|Oh, yeah."
166,A,"Oh, my goodness.","A|Oh, my goodness."
167,M,"and so we, we were away for a while, and then we came back, and now we live in an apartment, and I'm away for another two months.","M|and so we, we were away for a while, and then we came back, and now we live in an apartment, and I'm away for another two months."
168,A,"Uh-huh. That's what it is here, yeah, that's why we're at a point now we've, uh, we're adopting and we have been married ten plus years and what happens is, uh, you just realize that once you get to a certain age the next house that you get we'll be staying in Yeah,","A|Uh-huh. That's what it is here, yeah, that's why we're at a point now we've, uh, we're adopting and we have been married ten plus years and what happens is, uh, you just realize that once you get to a certain age the next house that you get we'll be staying in Yeah,"
169,M,"Uh, that is a, a big jump.","M|Uh, that is a, a big jump."
170,A,"that's kind of like where we're,","A|that's kind of like where we're,"
171,M,"And it's just kind of,","M|And it's just kind of,"
172,A,"so we're considering Pennsylvania, and we're just kind of, you know, toying with what exactly, where we want to be, you know.","A|so we're considering Pennsylvania, and we're just kind of, you know, toying with what exactly, where we want to be, you know."
173,M,Right.,M|Right.
174,A,"A lot of people say it doesn't matter where they live if they have a nice house and, but I disagree with that, I.","A|A lot of people say it doesn't matter where they live if they have a nice house and, but I disagree with that, I."
175,M,!!!%!!;!!etwork!! Remind me of that.,M|!!!%!!;!!etwork!! Remind me of that.
176,A,Uh-huh.,A|Uh-huh.
177,M,"It's, it's just a, it is a nightmare.","M|It's, it's just a, it is a nightmare."
178,A,"I know, and it, and the economy here in Dallas, I mean, it, it's steady, but it's still not going up.","A|I know, and it, and the economy here in Dallas, I mean, it, it's steady, but it's still not going up."
179,M,"Well, I know, I, I think that's, uh, I don't know, it just seems like, uh you know, the, the only thing that's going on here, it seems like it seems, it really is a problem, you know.","M|Well, I know, I, I think that's, uh, I don't know, it just seems like, uh you know, the, the only thing that's going on here, it seems like it seems, it really is a problem, you know."
180,A,"And I, um, I just refuse to buy it, um, if I know I'm not going to be there for at least five years, uh, you, you know.","A|And I, um, I just refuse to buy it, um, if I know I'm not going to be there for at least five years, uh, you, you know."
181,M,Yeah.,M|Yeah.
182,A,"Oh, I'm sure, yeah, there, I mean, you can go down a street, and here, he told you this, every other house, you know, if it's been foreclosed on or, you know, even big executives","A|Oh, I'm sure, yeah, there, I mean, you can go down a street, and here, he told you this, every other house, you know, if it's been foreclosed on or, you know, even big executives"
183,M,"Uh, uh-hum.","M|Uh, uh-hum."
184,A,"um, it's really, I mean, and, and it's hard to sell the properties. People from J C Penney's from New York, came here about a couple of years ago.","A|um, it's really, I mean, and, and it's hard to sell the properties. People from J C Penney's from New York, came here about a couple of years ago."
185,M,"Yeah, it sounds like you've got it under control, then.","M|Yeah, it sounds like you've got it under control, then."
186,A,"And they thought they were getting a great deal, um, because they could get a five hundred thousand dollar home with, they call it, zero lot lines, no property, And it would make you ill to see this.","A|And they thought they were getting a great deal, um, because they could get a five hundred thousand dollar home with, they call it, zero lot lines, no property, And it would make you ill to see this."
187,M,Right.,M|Right.
188,A,"I mean it would probably be like your house on, uh, you know, a half a city block in Pittsburgh or something.","A|I mean it would probably be like your house on, uh, you know, a half a city block in Pittsburgh or something."
189,M,"Yeah, that's true.","M|Yeah, that's true."
190,A,"Yeah, I know, and that's, you know, like I can look outside right now and look into the next unit.","A|Yeah, I know, and that's, you know, like I can look outside right now and look into the next unit."
191,M,"Uh-hope, yeah.","M|Uh-hope, yeah."
192,A,"You know, it's across the way, and it's landscaped and all that with azaleas,","A|You know, it's across the way, and it's landscaped and all that with azaleas,"
193,M,Uh.,M|Uh.
194,A,"but it's still, it's still not that private.","A|but it's still, it's still not that private."
195,M,"Yeah, yeah, it, it is.","M|Yeah, yeah, it, it is."
196,A,Yeah but you have a rider.,A|Yeah but you have a rider.
197,M,"And you have to let him get away from you, but otherwise he's good.","M|And you have to let him get away from you, but otherwise he's good."
198,A,"No, and your kids have, to tell you the truth, um, I think that if you can keep that, that way, you know, kind of like a homestead,","A|No, and your kids have, to tell you the truth, um, I think that if you can keep that, that way, you know, kind of like a homestead,"
