,Speaker,Utterance,Unified
5,M,i do yeah,M|i do yeah
76,g,go i would say go underneath the totem pole do you have a trout farm,g|go i would say go underneath the totem pole do you have a trout farm
77,M,no,M|no
78,g,the right yeah well you're getting from underneath the totem pole above which is above the great rock,g|the right yeah well you're getting from underneath the totem pole above which is above the great rock
79,M,right,M|right
80,g,underneath that and then heading across to the right to the trout farm,g|underneath that and then heading across to the right to the trout farm
81,M,right,M|right
82,g,do you have a cavalry,g|do you have a cavalry
83,M,no cavalry,M|no cavalry
84,g,no well,g|no well
85,M,right go down to the left of the trout,M|right go down to the left of the trout
86,g,go right go straight underneath the trout farm,g|go right go straight underneath the trout farm
87,M,right,M|right
88,g,yeah sort of well curve sort of up to the trout farm,g|yeah sort of well curve sort of up to the trout farm
89,M,mmhmm,M|mmhmm
90,g,go along,g|go along
91,M,so i'm going up to where the tribal settlement is,M|so i'm going up to where the tribal settlement is
92,g,below,g|below
93,M,"!!!'!!:'!!""!!2!!4!!8!!88!!89!!7!!91!!84!!81!!41!!","M|!!!'!!:'!!""!!2!!4!!8!!88!!89!!7!!91!!84!!81!!41!!"
94,g,go along the side of the trout farm,g|go along the side of the trout farm
95,M,mmhmm,M|mmhmm
96,g,to the right-hand side,g|to the right-hand side
97,M,yeah,M|yeah
98,g,and about about an inch away from the end of the sheet of paper,g|and about about an inch away from the end of the sheet of paper
99,M,mmhmm,M|mmhmm
100,g,and then go straight do you have a cattle stockade,g|and then go straight do you have a cattle stockade
101,M,no,M|no
102,g,uh-huh,g|uh-huh
103,M,you go up the left-hand side of the cattle stockades and along the bottom of the bandit territory to the finish,M|you go up the left-hand side of the cattle stockades and along the bottom of the bandit territory to the finish
104,g,go straight down to the cattle stockade,g|go straight down to the cattle stockade
105,M,uh right,M|uh right
106,g,below it,g|below it
107,M,right go round underneath it,M|right go round underneath it
108,g,go along to the end of the cattle stockade,g|go along to the end of the cattle stockade
109,M,right,M|right
110,g,and along the bottom yeah to the left of it,g|and along the bottom yeah to the left of it
111,M,to the left okay,M|to the left okay
112,g,um do you have anything between this cattle stockade and the bandit territory,g|um do you have anything between this cattle stockade and the bandit territory
113,M,a parched river bed,M|a parched river bed
114,g,right,g|right
115,M,and you've got to go underneath the bandits,M|and you've got to go underneath the bandits
116,g,is it sort of underneath the cattle stockade,g|is it sort of underneath the cattle stockade
117,M,no it's just above the cattle,M|no it's just above the cattle
118,g,right well just go a little curve above it,g|right well just go a little curve above it
119,M,uh-huh,M|uh-huh
120,g,and then go back down to the side of it and underneath the bandit territory,g|and then go back down to the side of it and underneath the bandit territory
121,M,right,M|right
122,g,right underneath it and then just come back up 'til you're level with the top of the plant thing about a,g|right underneath it and then just come back up 'til you're level with the top of the plant thing about a
123,M,right okay,M|right okay
124,g,at at the bandit territory,g|at at the bandit territory
125,M,"!!!!,!!'!!!'!!!.!!""!!?!!!4!!8!!84!!86!!","M|!!!!,!!'!!!'!!!.!!""!!?!!!4!!8!!84!!86!!"
126,g,yeah the cactus,g|yeah the cactus
127,M,right okay,M|right okay
128,g,so you're about an inch away from the edge of the sheet of paper,g|so you're about an inch away from the edge of the sheet of paper
129,M,mmhmm,M|mmhmm
130,g,and just that's your cross is there that's it finished,g|and just that's your cross is there that's it finished
131,M,yeah,M|yeah
