,Speaker,Utterance,Unified
5,M,how far,M|how far
105,M,"!!!'!!!'!! Rem!!okay!!!.!!,!!""!!2017!!7!!8!!.!!!,!!?!!2019!!4!!2018!!6!!226!!228!!234!!428!!423!!147!!288!!238!!!:!!886!!88!!!!!!!===!!!--!!until you come to the top of the white mountain","M|!!!'!!!'!! Rem!!okay!!!.!!,!!""!!2017!!7!!8!!.!!!,!!?!!2019!!4!!2018!!6!!226!!228!!234!!428!!423!!147!!288!!238!!!:!!886!!88!!!!!!!===!!!--!!until you come to the top of the white mountain"
106,g,ehm and go right underneath them,g|ehm and go right underneath them
107,M,"!!!2017!!2018!!2019!!2020!! 2020!! 2018!!'!!""!! 2017!!8!!4!!7!!6!!","M|!!!2017!!2018!!2019!!2020!! 2020!! 2018!!'!!""!! 2017!!8!!4!!7!!6!!"
108,g,then travel to the east just past the antelopes,g|then travel to the east just past the antelopes
109,M,mm,M|mm
110,g,that's it finished,g|that's it finished
111,M,right ehm have you got a start at the top,M|right ehm have you got a start at the top
112,g,mmhmm,g|mmhmm
113,M,"!!!'!!!'!!2017!!2018!!2019!!2020!! 2020!! 2017!! 2018!!18!!""!!,!!.!!17!!23!!all!!2015!!226!!1945!!146!!286!!48!!","M|!!!'!!!'!!2017!!2018!!2019!!2020!! 2020!! 2017!! 2018!!18!!""!!,!!.!!17!!23!!all!!2015!!226!!1945!!146!!286!!48!!"
114,g,that's it,g|that's it
