,Speaker,Utterance,Unified
5,B,"Well, do we?","B|Well, do we?"
35,B,"And one of the Congressmen has, has written in the last three years about a thousand bad checks.","B|And one of the Congressmen has, has written in the last three years about a thousand bad checks."
36,M,Umm...,M|Umm...
37,B,"And we, we the taxpayers float him a loan for all all those bad checks,  no interest, no repayment schedule.","B|And we, we the taxpayers float him a loan for all all those bad checks,  no interest, no repayment schedule."
38,M,It ',M|It '
39,B,"And, um, it's causing quite a stir up here,  because we're so close to D C anyway.","B|And, um, it's causing quite a stir up here,  because we're so close to D C anyway."
40,M,It's not even close to being a government issue.,M|It's not even close to being a government issue.
41,B,It's really kind of curious to watch this thing occur.,B|It's really kind of curious to watch this thing occur.
42,M,I'm just curious as to what the real reason is.,M|I'm just curious as to what the real reason is.
43,B,"Um, I, I, I think we pay too much. And I've, I look at my paycheck and I make, well, let's see. They take out in state and federal taxes","B|Um, I, I, I think we pay too much. And I've, I look at my paycheck and I make, well, let's see. They take out in state and federal taxes"
44,M,"Well, how do you pay for it?","M|Well, how do you pay for it?"
45,B,I think I pay forty-two percent.,B|I think I pay forty-two percent.
46,M,"Uhh, I'm not sure I'm ready for this","M|Uhh, I'm not sure I'm ready for this"
47,B,"Forty-two cents out of every dollar I make goes to the government, and then they charge me sales tax and they charge me gasoline taxes,","B|Forty-two cents out of every dollar I make goes to the government, and then they charge me sales tax and they charge me gasoline taxes,"
48,M,How much does the government pay you?,M|How much does the government pay you?
49,B,"and they charge me all these others, and it's just too expensive.","B|and they charge me all these others, and it's just too expensive."
50,M,"I know, right? It's like they're not even trying.","M|I know, right? It's like they're not even trying."
51,B,"I can't believe that I, I'm just thankful that I don't get all the government that I pay for.","B|I can't believe that I, I'm just thankful that I don't get all the government that I pay for."
52,M,How are you even paying for this?,M|How are you even paying for this?
53,B,You know what I mean?,B|You know what I mean?
54,M,You mean you don't have to pay taxes?,M|You mean you don't have to pay taxes?
55,B,"Do you, have you used, um, student loans and things like that that were guaranteed by the government?","B|Do you, have you used, um, student loans and things like that that were guaranteed by the government?"
56,M,I'm pretty sure I got a loan.,M|I'm pretty sure I got a loan.
57,B,What are you studying down there?,B|What are you studying down there?
58,M,He nods and puts his hands on his hips. I'm fine.,M|He nods and puts his hands on his hips. I'm fine.
59,B,Physics.,B|Physics.
60,M,"I don't have any experience with that, but I'm sure it's something you can learn.","M|I don't have any experience with that, but I'm sure it's something you can learn."
61,B,"Oh, that sounds like a fun, fun field.","B|Oh, that sounds like a fun, fun field."
62,M,"It's a field, dude.","M|It's a field, dude."
63,B,Scientific.,B|Scientific.
64,M,"No, you're thinking of the wrong person.","M|No, you're thinking of the wrong person."
65,B,"Heavy science. Are you like in the particle, particle research or anything like that or is it more, um, applied physics?","B|Heavy science. Are you like in the particle, particle research or anything like that or is it more, um, applied physics?"
66,M,I'm a heavy science guy.,M|I'm a heavy science guy.
67,B,"Okay. Well maybe, maybe you can figure out how we can stop this inertia that's, come rolling towards, whatever it's rolling toward.","B|Okay. Well maybe, maybe you can figure out how we can stop this inertia that's, come rolling towards, whatever it's rolling toward."
68,M,I'm a physicist and I can tell you that,M|I'm a physicist and I can tell you that
69,B,"Actually, I don't think we are.","B|Actually, I don't think we are."
70,M,...,M|...
71,B,"Um, like, like Europe,  um, England. I know the taxes are a lot higher.","B|Um, like, like Europe,  um, England. I know the taxes are a lot higher."
72,M,"Yeah, but you know, like, how much money we have.","M|Yeah, but you know, like, how much money we have."
73,B,But they do have socialized medicine and things like that.,B|But they do have socialized medicine and things like that.
74,M,It's a socialized healthcare system.,M|It's a socialized healthcare system.
75,B,"And, um, I know I was reading in the paper I believe yesterday that, um, they're talking, or maybe it was on the","B|And, um, I know I was reading in the paper I believe yesterday that, um, they're talking, or maybe it was on the"
