,Speaker,Utterance,Unified
5,B,Have I?,B|Have I?
43,B,"Besides which, it would be easier, uh, there's a lot of single mothers out there now, from divorces and a lot of, women are starting to have babies without a partner.","B|Besides which, it would be easier, uh, there's a lot of single mothers out there now, from divorces and a lot of, women are starting to have babies without a partner."
44,M,How would you know?,M|How would you know?
45,B,"And to go to work, you are worried about your child, besides which you have to get up earlier to take the child to day care.","B|And to go to work, you are worried about your child, besides which you have to get up earlier to take the child to day care."
46,M,"To be fair, I don't have a choice. I can get up at any time.","M|To be fair, I don't have a choice. I can get up at any time."
47,B,"And if they were in the same building then you are going to the same place,","B|And if they were in the same building then you are going to the same place,"
48,M,"You are going on the same day, if you are in the exact same place.","M|You are going on the same day, if you are in the exact same place."
49,B,"and you could go for your lunch hour down and visit with your child, or, you know, and take your breaks with your children, or something.","B|and you could go for your lunch hour down and visit with your child, or, you know, and take your breaks with your children, or something."
50,M,I think that's what I'd do.,M|I think that's what I'd do.
51,B,"I think I, think it would be fair.","B|I think I, think it would be fair."
52,M,Why not just get a job?,M|Why not just get a job?
53,B,"I think if, if the company could not provide it all on their own, for the, for the people that would be using it, you know, a certain amount of their salary would go to it.","B|I think if, if the company could not provide it all on their own, for the, for the people that would be using it, you know, a certain amount of their salary would go to it."
54,M,,M|
55,B,"But it would still probably be cheaper with the company helping,  our if everybody, you know, pulled their own weight in it.","B|But it would still probably be cheaper with the company helping,  our if everybody, you know, pulled their own weight in it."
56,M,"Yeah, I'd say so.","M|Yeah, I'd say so."
57,B,I think it would be really. really great.,B|I think it would be really. really great.
58,M,"No, but I would","M|No, but I would"
59,B,Yeah.,B|Yeah.
60,M,We should just go to the end of the world.,M|We should just go to the end of the world.
61,B,I do.,B|I do.
62,M,Not really.,M|Not really.
63,B,"Eye care is good. I do not, I am not I do not think we have that on our policy.","B|Eye care is good. I do not, I am not I do not think we have that on our policy."
64,M,Eye Care.,M|Eye Care.
65,B,"But, uh, we,","B|But, uh, we,"
66,M,I think we all do.,M|I think we all do.
67,B,"Yeah. It would be great, I mean, uh, the glasses that, the exams themselves are not expensive, it's the glasses.","B|Yeah. It would be great, I mean, uh, the glasses that, the exams themselves are not expensive, it's the glasses."
68,M,I have a vision exam on the 19th. I will not be attending.,M|I have a vision exam on the 19th. I will not be attending.
69,B,"Yeah, that's true.","B|Yeah, that's true."
70,M,"No, because you don't have a choice.","M|No, because you don't have a choice."
71,B,"Right, now like my ... Right. Well, like my mother, she has to go for testing cause she has got,","B|Right, now like my ... Right. Well, like my mother, she has to go for testing cause she has got,"
72,M,She's got an optician.,M|She's got an optician.
73,B,"Well, she does not have it, but, she is like, on the verge of it or, something.","B|Well, she does not have it, but, she is like, on the verge of it or, something."
74,M,She has her own problems.,M|She has her own problems.
75,B,"Her eyes are changing,","B|Her eyes are changing,"
76,M,"Oh, I see.","M|Oh, I see."
77,B,"and she has to be tested periodically. And, and those are expensive tests.","B|and she has to be tested periodically. And, and those are expensive tests."
78,M,"she has to go to the hospital, she is going to test her eyes.","M|she has to go to the hospital, she is going to test her eyes."
79,B,"Now, I think your insurance covers her on that,","B|Now, I think your insurance covers her on that,"
80,M,I have to have her eyes tested.,M|I have to have her eyes tested.
81,B,"but you know, for something like that, that's just as bad as a medical, you know, that's,","B|but you know, for something like that, that's just as bad as a medical, you know, that's,"
82,M,But it's a good thing!,M|But it's a good thing!
83,B,Right.,B|Right.
84,M,right.jpg,M|right.jpg
85,B,Right.,B|Right.
86,M,right.,M|right.
87,B,"Now, I would like to see better dental insurance to me. Was that our beep?","B|Now, I would like to see better dental insurance to me. Was that our beep?"
88,M,I would like a chance to see some more of your dental insurance,M|I would like a chance to see some more of your dental insurance
89,B,Oh. Huh.,B|Oh. Huh.
90,M,"You know what, you're right.","M|You know what, you're right."
91,B,Okay.,B|Okay.
92,M,I have no idea,M|I have no idea
93,B,"But, with the three children um, orthopedic care, um, not orthopedic, orthodontic care,","B|But, with the three children um, orthopedic care, um, not orthopedic, orthodontic care,"
94,M,I know.,M|I know.
95,B,"because on, on a lot of the dental insurance, they do not cover that well. For the, the orthodontia stuff.","B|because on, on a lot of the dental insurance, they do not cover that well. For the, the orthodontia stuff."
96,M,"Why, because it's a dentist?","M|Why, because it's a dentist?"
97,B,"Yes, it is.","B|Yes, it is."
98,M,It's not that expensive.,M|It's not that expensive.
99,B,Uh-huh. Right.,B|Uh-huh. Right.
100,M,That's the joke.,M|That's the joke.
101,B,Yeah.,B|Yeah.
102,M,"Ohh, my bad.","M|Ohh, my bad."
103,B,"Right. My middle child needs to have, uh, orthodontic, he's because his, his pallet is squared, not rounded.","B|Right. My middle child needs to have, uh, orthodontic, he's because his, his pallet is squared, not rounded."
104,M,"Your middle child has a flat stomach, because she's a pallet.","M|Your middle child has a flat stomach, because she's a pallet."
105,B,"And it affects his speech a little bit, not, not anything, you know,","B|And it affects his speech a little bit, not, not anything, you know,"
106,M,"He was born with a mouth, and therefore, he can't speak.","M|He was born with a mouth, and therefore, he can't speak."
107,B,Right.,B|Right.
108,M,Yes. Right.,M|Yes. Right.
109,B,"But just enough that his bite is off a little bit and it's like four hundred dollars, and my insurance is only going to cover like fifty of it.","B|But just enough that his bite is off a little bit and it's like four hundred dollars, and my insurance is only going to cover like fifty of it."
110,M,"Yeah, I was just joking.","M|Yeah, I was just joking."
111,B,Oh.,B|Oh.
112,M,I read an ad.,M|I read an ad.
113,B,Really.,B|Really.
114,M,"I'm sorry, but I'm not a doctor.","M|I'm sorry, but I'm not a doctor."
115,B,That sounds like it would hurt more.,B|That sounds like it would hurt more.
116,M,I was thinking about it.,M|I was thinking about it.
117,B,"Oh, gosh. I, I would much rather that, do that, to myself than make my five year old go in and do it. That would kill me.","B|Oh, gosh. I, I would much rather that, do that, to myself than make my five year old go in and do it. That would kill me."
