,Speaker,Utterance,Unified
5,B,Tibby and Liberty.,B|Tibby and Liberty.
53,B,Well we had a German Shepherd and he had dysplasia,B|Well we had a German Shepherd and he had dysplasia
54,M,He is a little bit crazy.,M|He is a little bit crazy.
55,B,and he had it for about three or four years where we just about had to lift him and carry him every place he went.,B|and he had it for about three or four years where we just about had to lift him and carry him every place he went.
56,M,He's a very big dog. He's only 8 weeks old.,M|He's a very big dog. He's only 8 weeks old.
57,B,"So, when he died, we got a little one.","B|So, when he died, we got a little one."
58,M,I'm sorry for your loss.,M|I'm sorry for your loss.
59,B,"But our shepherd was almost thirteen years old, and it just, you know, was almost cruel because,","B|But our shepherd was almost thirteen years old, and it just, you know, was almost cruel because,"
60,M,She was almost a year old when we rescued her.,M|She was almost a year old when we rescued her.
61,B,"Yeah, he just, he couldn't get up, he couldn't walk, so, he was a hundred and twenty pounds, so it was a chore.","B|Yeah, he just, he couldn't get up, he couldn't walk, so, he was a hundred and twenty pounds, so it was a chore."
62,M,He had a dog?,M|He had a dog?
63,B,"So we said the next time around we'd get something little that if something happened, it would be easier to carry.","B|So we said the next time around we'd get something little that if something happened, it would be easier to carry."
64,M,"I'm not saying it's impossible, I'm just saying that it's not a simple matter of how many times we say it.","M|I'm not saying it's impossible, I'm just saying that it's not a simple matter of how many times we say it."
65,B,"And then we've had three cats in our married life, and we've got a calico now.","B|And then we've had three cats in our married life, and we've got a calico now."
66,M,"I was gonna say it, but then I saw the name.","M|I was gonna say it, but then I saw the name."
67,B,Do you?,B|Do you?
68,M,"I know, right? I think it's a little bit creepy.","M|I know, right? I think it's a little bit creepy."
69,B,Um.,B|Um.
70,M,You'av,M|You'av
71,B,"Yeah, well, don't even talk to me, I, when I was single I had gone away for the weekend,","B|Yeah, well, don't even talk to me, I, when I was single I had gone away for the weekend,"
72,M,"So, I, like, you, and, me, you","M|So, I, like, you, and, me, you"
73,B,"and my husband, then fianc3e, was to keep my cat, and he let her out, and my house was loaded with fleas, I mean, you walked in and your legs were just black.","B|and my husband, then fianc3e, was to keep my cat, and he let her out, and my house was loaded with fleas, I mean, you walked in and your legs were just black."
74,M,"I remember this, I was just in the same situation as you.","M|I remember this, I was just in the same situation as you."
75,B,"And we had such a time, and never got the cat back.","B|And we had such a time, and never got the cat back."
76,M,"I was, my cat died.","M|I was, my cat died."
77,B,"Yeah, I found it, you know, in the street.","B|Yeah, I found it, you know, in the street."
78,M,"Oh, yeah.","M|Oh, yeah."
79,B,"I was a social worker at the time, and found it,","B|I was a social worker at the time, and found it,"
