,Speaker,Utterance,Unified
5,M,"uh, and","M|uh, and"
34,B,"Right, I, I usually see her a, couple times a year so that's no, no big thing. But, uh, I, uh, I do, I do enjoy the reunions. The only problem is that now, uh, originally when we had them, uh, they were mainly my mother's","B|Right, I, I usually see her a, couple times a year so that's no, no big thing. But, uh, I, uh, I do, I do enjoy the reunions. The only problem is that now, uh, originally when we had them, uh, they were mainly my mother's"
35,M,"Yeah, I'm sure.","M|Yeah, I'm sure."
36,B,"uh, father's. My mother's father's family had quite a few, uh, brothers and sisters.","B|uh, father's. My mother's father's family had quite a few, uh, brothers and sisters."
37,M,What are your fathers'fathers?,M|What are your fathers'fathers?
38,B,"So, it was a large reunion of, of, of that group, uh, from that descendants.","B|So, it was a large reunion of, of, of that group, uh, from that descendants."
39,M,"I, uh, I do","M|I, uh, I do"
40,B,"And, uh, a lot of those people have, and at time, you know, they all knew one another.","B|And, uh, a lot of those people have, and at time, you know, they all knew one another."
41,M,"Uhh, yeah, uh, that's what I said.","M|Uhh, yeah, uh, that's what I said."
42,B,"And now it has gotten, uh, that, uh, a lot of those people are have, uh, have died off, or, you know, what we are left with is the, the relatives of, of, of that group.","B|And now it has gotten, uh, that, uh, a lot of those people are have, uh, have died off, or, you know, what we are left with is the, the relatives of, of, of that group."
43,M,"But, uh, uh...","M|But, uh, uh..."
44,B,"And so, uh, it's not quite as close as it used to be. So, I think people feel less of a desire to really go. I know that,","B|And so, uh, it's not quite as close as it used to be. So, I think people feel less of a desire to really go. I know that,"
45,M,Uhm,M|Uhm
46,B,"Well, I, I just think that, uh, you know, at that when, when they were you know, the, those were all brothers and sisters a lot and or they were all in the same geographical location.","B|Well, I, I just think that, uh, you know, at that when, when they were you know, the, those were all brothers and sisters a lot and or they were all in the same geographical location."
47,M,"I,","M|I,"
48,B,"You know, back around, you know, in the twenties and thirties when they were growing up, uh, you know, they were all located together, in one small community.","B|You know, back around, you know, in the twenties and thirties when they were growing up, uh, you know, they were all located together, in one small community."
49,M,"you know, uh,","M|you know, uh,"
50,B,"And as, as time grew, I mean when time went on the family grew and moved away and so forth. And now when they come together it's, it's generally, you know, like say the kids of those people who are not, you know, anywhere near one another and I do not think they feel the, the closeness that they used to be there. Which is a shame","B|And as, as time grew, I mean when time went on the family grew and moved away and so forth. And now when they come together it's, it's generally, you know, like say the kids of those people who are not, you know, anywhere near one another and I do not think they feel the, the closeness that they used to be there. Which is a shame"
51,M,That.,M|That.
52,B,"but that's just how it is. My mother was complaining last year about you know, it's dwindling down every year, you know, that's just, I think that's just","B|but that's just how it is. My mother was complaining last year about you know, it's dwindling down every year, you know, that's just, I think that's just"
53,M,I think.,M|I think.
54,B,"Well, yeah. Yeah, that's, uh, yeah, I think that's some of it. But, you know, I have, uh, I, I, it's just the way, you know, I think society is now, is that we are not, we do not have the extensive family we used to.","B|Well, yeah. Yeah, that's, uh, yeah, I think that's some of it. But, you know, I have, uh, I, I, it's just the way, you know, I think society is now, is that we are not, we do not have the extensive family we used to."
55,M,I,M|I
56,B,"It's more of a, you know, a smaller, smaller unit, and you know, we, we tend to try to do things, I think with our immediate family, as opposed to the extended family. Of people that we may or may not remember or know, you know, very well.","B|It's more of a, you know, a smaller, smaller unit, and you know, we, we tend to try to do things, I think with our immediate family, as opposed to the extended family. Of people that we may or may not remember or know, you know, very well."
57,M,That,M|That
58,B,Uh,B|Uh
59,M,"That's a lot, I mean, it's a LOT.","M|That's a lot, I mean, it's a LOT."
60,B,"Right, it requires a lot of effort to, to, to do that sort of thing.","B|Right, it requires a lot of effort to, to, to do that sort of thing."
61,M,"Oh, it's not that bad.","M|Oh, it's not that bad."
62,B,"I mean, I, I used to enjoy going, I mean I still do kind of enjoy it, but, uh, it's, it does not, it's not as many people there that I really, really enjoy seeing.","B|I mean, I, I used to enjoy going, I mean I still do kind of enjoy it, but, uh, it's, it does not, it's not as many people there that I really, really enjoy seeing."
63,M,"It's, uh, it's.","M|It's, uh, it's."
64,B,"You know, I, it's going just for the sake of getting together, I think for the family. And,","B|You know, I, it's going just for the sake of getting together, I think for the family. And,"
65,M,It's just going for the sole purpose of the show.,M|It's just going for the sole purpose of the show.
66,B,"Uh, Um, um, no, not really. in that, but, then again, uh, well, I, you know, I have some aunts that, uh, I, I, I do. That's about my mother's sisters, you know,","B|Uh, Um, um, no, not really. in that, but, then again, uh, well, I, you know, I have some aunts that, uh, I, I, I do. That's about my mother's sisters, you know,"
67,M,"You're, and,","M|You're, and,"
68,B,"but I feel closer to them, because I kind of grew up with them. But, But, uh, as, you know, for the rest of that group, no not really.","B|but I feel closer to them, because I kind of grew up with them. But, But, uh, as, you know, for the rest of that group, no not really."
69,M,That's,M|That's
70,B,"Uh, you know, and, and generally when I was growing up a lot of those people, the only time I ever saw them was at the reunion, so, uh","B|Uh, you know, and, and generally when I was growing up a lot of those people, the only time I ever saw them was at the reunion, so, uh"
71,M,You know,M|You know
72,B,you do not really feel that that really close to them.,B|you do not really feel that that really close to them.
73,M,I think I might be able to find them in the back of my mind if I look around.,M|I think I might be able to find them in the back of my mind if I look around.
74,B,Uh-huh.,B|Uh-huh.
75,M,Yup.,M|Yup.
76,B,Uh-huh.,B|Uh-huh.
77,M,I don't really...,M|I don't really...
78,B,That's a good idea.,B|That's a good idea.
79,M,lol.,M|lol.
80,B,Right.,B|Right.
81,M,I'm pretty much.,M|I'm pretty much.
82,B,Yeah. Right.,B|Yeah. Right.
83,M,"Hehehehe, you guys.","M|Hehehehe, you guys."
84,B,Yeah.,B|Yeah.
85,M,I think it's funny that we can't talk about it anymore.,M|I think it's funny that we can't talk about it anymore.
86,B,Uh-huh.,B|Uh-huh.
87,M,"Them. I mean, what about the","M|Them. I mean, what about the"
