,Speaker,Utterance,Unified
5,M,"Yea, I'm a nurse.","M|Yea, I'm a nurse."
56,B,"Oh, I do too.","B|Oh, I do too."
57,M,"Yes, I do.","M|Yes, I do."
58,B,"Or if, if they could be real, real nearby where they could see them everyday or so.","B|Or if, if they could be real, real nearby where they could see them everyday or so."
59,M,Or when the parents are real,M|Or when the parents are real
60,B,"Uh, because I know Governor Richards is really upset about what she's finding in the nursing homes, uh, regulation in Texas so maybe we'll get it improved.","B|Uh, because I know Governor Richards is really upset about what she's finding in the nursing homes, uh, regulation in Texas so maybe we'll get it improved."
61,M,"You, uh, I know.","M|You, uh, I know."
62,B,So.,B|So.
63,M,He was the governor of California.,M|He was the governor of California.
64,B,Anyway.,B|Anyway.
65,M,"Well, that's good.","M|Well, that's good."
66,B,"Right. Oh, it's tough I'm sure.","B|Right. Oh, it's tough I'm sure."
67,M,She nods.,M|She nods.
68,B,"Oh. Right, that would be devastating I'm sure so.","B|Oh. Right, that would be devastating I'm sure so."
69,M,They'd have to have the family or friends to have any good care.,M|They'd have to have the family or friends to have any good care.
70,B,"It is a tough decision and it's one that needs a great deal of thought, and prior probably.","B|It is a tough decision and it's one that needs a great deal of thought, and prior probably."
71,M,What if I don,M|What if I don
72,B,Yeah.,B|Yeah.
73,M,"So, uh, if you don't feel you could do that then...","M|So, uh, if you don't feel you could do that then..."
74,B,Right.,B|Right.
75,M,"Well, I'm not sure what you're asking, but I don't think you need any help.","M|Well, I'm not sure what you're asking, but I don't think you need any help."
76,B,Uh-huh.,B|Uh-huh.
77,M,Yup. They are there.,M|Yup. They are there.
78,B,Right.,B|Right.
79,M,Like a... father?,M|Like a... father?
80,B,"I would hope we could do that, and then go from there.","B|I would hope we could do that, and then go from there."
81,M,"I don't know, I'm hoping we could get a third person to do it, but I'm not sure.","M|I don't know, I'm hoping we could get a third person to do it, but I'm not sure."
82,B,"Well, anyway,","B|Well, anyway,"
83,M,... yeah,M|... yeah
84,B,"We've covered a little bit and, uh, it's good to hear from you and,","B|We've covered a little bit and, uh, it's good to hear from you and,"
85,M,"You're welcome, but I think you've covered my answer too well.","M|You're welcome, but I think you've covered my answer too well."
86,B,"Have a good,","B|Have a good,"
87,M,he smiles and hugs her again Thank you,M|he smiles and hugs her again Thank you
88,B,Have a good,B|Have a good
