,Speaker,Utterance,Unified
5,f,to the right,f|to the right
60,M,right and then go down the side of the map past the missionary camp,M|right and then go down the side of the map past the missionary camp
61,f,uh-huh,f|uh-huh
62,M,right now you're heading diagonally down towards the bottom of the page,M|right now you're heading diagonally down towards the bottom of the page
63,f,uh-huh i've got an avalanche above it though,f|uh-huh i've got an avalanche above it though
64,M,uh i haven't got that,M|uh i haven't got that
65,f,uh-huh,f|uh-huh
66,M,well you want to go up to the concealed out round the concealedout,M|well you want to go up to the concealed out round the concealedout
67,f,mmhmm,f|mmhmm
68,M,and then you're kind of curving back up so you're sort of going vertically downwards,M|and then you're kind of curving back up so you're sort of going vertically downwards
69,f,along what along the bottom of the pine grove or going past it,f|along what along the bottom of the pine grove or going past it
70,M,well i don't know i donae understand what way,M|well i don't know i donae understand what way
71,f,towards the concealed hideout,f|towards the concealed hideout
72,M,uh-huh towards the concealed out of the line,M|uh-huh towards the concealed out of the line
73,f,where do i end up in relation to the concealed hideout,f|where do i end up in relation to the concealed hideout
74,M,you go you go round it just draw a wee cross,M|you go you go round it just draw a wee cross
75,f,but i i don't go along the bottom of the pine grove,f|but i i don't go along the bottom of the pine grove
76,M,no,M|no
77,f,so it's not much of a curve,f|so it's not much of a curve
78,M,no not much,M|no not much
79,f,right eh and i end up to the left of the concealed hideout,f|right eh and i end up to the left of the concealed hideout
80,M,uh-huh that's right that's good right and then you go down,M|uh-huh that's right that's good right and then you go down
81,f,along the top of it right,f|along the top of it right
82,M,and then you're you're about an inch and a half away from the edge of the page,M|and then you're you're about an inch and a half away from the edge of the page
83,f,okay,f|okay
84,M,okaye,M|okaye
85,f,mmhmm,f|mmhmm
86,M,just a wee bit to the to the and then you go straight along to the finish,M|just a wee bit to the to the and then you go straight along to the finish
87,f,no but i haven't hit anything so,f|no but i haven't hit anything so
88,M,right so i'm now at the bottom of the east lake,M|right so i'm now at the bottom of the east lake
89,f,i'm to the right of the concealed hideout,f|i'm to the right of the concealed hideout
90,M,well go round that so you go round it,M|well go round that so you go round it
91,f,uh-huh,f|uh-huh
92,M,"!!!'!!!'!!2015!!2014!!2016!!8!!2017!!7!!4!!""!!84!!81!!88!!886!!889!!89!!91!!86!!!?!!92!!96!!,!!!!!!!!.!!!!!!!!!!!!!!!!!!!.!!44!!there!!!,!!!--!!i!!o!!okay!!mm!!u!!right!!up!!you!!yeah!!good!!now!!god!!have!!oh!!oke!!this!!am!!that!!s!!uh!!the!!got!!level!!ah!!and!!gold!!can!!within!!ex!!q!!fields!!Fu!!Ukraine!! Tag!!Ak!! Kit!!Turkey!!Mir!!Japan!! Kats!! Kab!!Russia!!China!!MH!!Gh!!py!!big!!Sum!!k!!Zen!!Bull!!Mask!!Leader!! Azerbaijan!!Hash!! Fu!!Conclusion!!Shin!! Japan!! Nato!! Putin!!eh!! Tokyo!! Azerbai!!Alexander!! Eva!! Kenya!! Teacher!! Sum!!Lv!! Kob!! Channel!!","M|!!!'!!!'!!2015!!2014!!2016!!8!!2017!!7!!4!!""!!84!!81!!88!!886!!889!!89!!91!!86!!!?!!92!!96!!,!!!!!!!!.!!!!!!!!!!!!!!!!!!!.!!44!!there!!!,!!!--!!i!!o!!okay!!mm!!u!!right!!up!!you!!yeah!!good!!now!!god!!have!!oh!!oke!!this!!am!!that!!s!!uh!!the!!got!!level!!ah!!and!!gold!!can!!within!!ex!!q!!fields!!Fu!!Ukraine!! Tag!!Ak!! Kit!!Turkey!!Mir!!Japan!! Kats!! Kab!!Russia!!China!!MH!!Gh!!py!!big!!Sum!!k!!Zen!!Bull!!Mask!!Leader!! Azerbaijan!!Hash!! Fu!!Conclusion!!Shin!! Japan!! Nato!! Putin!!eh!! Tokyo!! Azerbai!!Alexander!! Eva!! Kenya!! Teacher!! Sum!!Lv!! Kob!! Channel!!"
93,f,left,f|left
94,M,uh the boat houses are ehm underneath the concealed out boat house and above the concealedout boat house right,M|uh the boat houses are ehm underneath the concealed out boat house and above the concealedout boat house right
95,f,okay,f|okay
96,M,ok,M|ok
97,f,uh-huh,f|uh-huh
98,M,"right ehm you want to go eh straight down from there about an inch and a half just to the right of the ""c"" of crane bay and about an centimetre and a centimetres from the edge of the page","M|right ehm you want to go eh straight down from there about an inch and a half just to the right of the ""c"" of crane bay and about an centimetre and a centimetres from the edge of the page"
99,f,and to the right of the boat house,f|and to the right of the boat house
100,M,uh and right,M|uh and right
101,f,right well the boat house is sort of on crane bay beside it,f|right well the boat house is sort of on crane bay beside it
102,M,right okay,M|right okay
103,f,uh-huh,f|uh-huh
104,M,yeah,M|yeah
105,f,you've got two,f|you've got two
106,M,oh well i've only got one,M|oh well i've only got one
107,f,well which which,f|well which which
108,M,"!!!'!!!'!!""!!4!!8!!7!!6!!775!!77!!","M|!!!'!!!'!!""!!4!!8!!7!!6!!775!!77!!"
109,f,well mine's to the right and below it,f|well mine's to the right and below it
110,M,ah right well we're trying to avoid that,M|ah right well we're trying to avoid that
111,f,"right so will i do a ""u""-turn","f|right so will i do a ""u""-turn"
112,M,uh-huh,M|uh-huh
113,f,okay,f|okay
114,M,right now you're going along to your right now,M|right now you're going along to your right now
115,f,bottom right,f|bottom right
116,M,uh,M|uh
117,f,uh-huh,f|uh-huh
118,M,okay right,M|okay right
119,f,mmhmm,f|mmhmm
120,M,and then go straight up towards the west lake,M|and then go straight up towards the west lake
121,f,the left,f|the left
122,M,uh-uh,M|uh-uh
123,f,towards the you mean under the concealed hideout,f|towards the you mean under the concealed hideout
124,M,no no,M|no no
125,f,right i'm going along under the i'm now at the bottom left-hand corner of the the concealed hideout right,f|right i'm going along under the i'm now at the bottom left-hand corner of the the concealed hideout right
126,M,uh-hope so,M|uh-hope so
127,f,right,f|right
128,M,and then draw a line two inches to the right,M|and then draw a line two inches to the right
129,f,uh-huh,f|uh-huh
130,M,right i've done that,M|right i've done that
131,f,straight down from where,f|straight down from where
132,M,"!!!!.!!'!!!'!!""!! Bolsheviks!!there!!'t!! Lenin!!right!!ok!!,!!","M|!!!!.!!'!!!'!!""!! Bolsheviks!!there!!'t!! Lenin!!right!!ok!!,!!"
133,f,uh-huh uh-huh,f|uh-huh uh-huh
134,M,right now go go down about an inch and a half directly down,M|right now go go down about an inch and a half directly down
135,f,mmhmm,f|mmhmm
136,M,and you don't have a trig point do you,M|and you don't have a trig point do you
137,f,mmhmm,f|mmhmm
138,M,and then we're going,M|and then we're going
139,f,eh uh-huh,f|eh uh-huh
140,M,ok,M|ok
141,f,well i mean i will have in a minute once i see where you're going,f|well i mean i will have in a minute once i see where you're going
142,M,"!!!!.!!'!!""!!","M|!!!!.!!'!!""!!"
143,f,no,f|no
144,M,right well i've got pebbled shore,M|right well i've got pebbled shore
145,f,uh-huh,f|uh-huh
146,M,well come down right down to the bottom right-hand corner,M|well come down right down to the bottom right-hand corner
147,f,it's good bit further down opposite the other boat house but further down,f|it's good bit further down opposite the other boat house but further down
148,M,mmhmm,M|mmhmm
149,f,ah you still i still don't know where your boat house is,f|ah you still i still don't know where your boat house is
150,M,ehm it's just parallel to the concealed hideout,M|ehm it's just parallel to the concealed hideout
151,f,i'm right crane bay there's two sort of little inlets in it at the top of it,f|i'm right crane bay there's two sort of little inlets in it at the top of it
152,M,oh right right i see what you mean,M|oh right right i see what you mean
153,f,"above bay and above the ""c"" of crane right","f|above bay and above the ""c"" of crane right"
154,M,"above the ""e"" uh-hope so","M|above the ""e"" uh-hope so"
155,f,see where i mean,f|see where i mean
156,M,"see the ""e"" in crane bay","M|see the ""e"" in crane bay"
157,f,and eh i'm just above that bit of land in between there the curved bit of land,f|and eh i'm just above that bit of land in between there the curved bit of land
158,M,yeah,M|yeah
159,f,mmhmm,f|mmhmm
160,M,"until you're you're just below the ""r"" of the burnt forest","M|until you're you're just below the ""r"" of the burnt forest"
161,f,which direction,f|which direction
162,M,"!!!!,!!'!!!'!!2018!!2017!!2020!!2019!! 2018!! 2017!!2016!! 2016!!""!!!!!!4!!8!!7!!6!!81!!76!!.!!86!!88!!,!!!!!!!226!!147!!146!!!:!!48!!92!!84!!!!!!!!!!!!!!!","M|!!!!,!!'!!!'!!2018!!2017!!2020!!2019!! 2018!! 2017!!2016!! 2016!!""!!!!!!4!!8!!7!!6!!81!!76!!.!!86!!88!!,!!!!!!!226!!147!!146!!!:!!48!!92!!84!!!!!!!!!!!!!!!"
163,f,right,f|right
164,M,"!!!'!!!'!!2!!er!!you!!'t!!""!!okay!!mm!!r!!i!!ex!!q!!","M|!!!'!!!'!!2!!er!!you!!'t!!""!!okay!!mm!!r!!i!!ex!!q!!"
165,f,mmhmm mmhmm,f|mmhmm mmhmm
166,M,and then go right 'til you're about an inch away from the left-hand side of the page,M|and then go right 'til you're about an inch away from the left-hand side of the page
167,f,right,f|right
168,M,ok,M|ok
169,f,uh-huh,f|uh-huh
170,M,right see the third branch of crane bay,M|right see the third branch of crane bay
171,f,mmhmm,f|mmhmm
172,M,and then keep moving downwards about three inches,M|and then keep moving downwards about three inches
173,f,towards the pebbled shore,f|towards the pebbled shore
174,M,yeah,M|yeah
175,f,straight towards it,f|straight towards it
176,M,uh well i've got i've curved round the washed stones so i i'm now i'm going towards the left-hand side of the page,M|uh well i've got i've curved round the washed stones so i i'm now i'm going towards the left-hand side of the page
177,f,mmhmm,f|mmhmm
178,M,"!!!'!!!'!!""!!.!!2!!","M|!!!'!!!'!!""!!.!!2!!"
179,f,mmhmm,f|mmhmm
180,M,and then you're just going to continue going down about another centimetres,M|and then you're just going to continue going down about another centimetres
181,f,mmhmm,f|mmhmm
182,M,down,M|down
183,f,i'm above the pebbled shore to the left of it,f|i'm above the pebbled shore to the left of it
184,M,uh-huh,M|uh-huh
185,f,mmhmm,f|mmhmm
186,M,and then up so that you're on the left-hand side of the pea tree,M|and then up so that you're on the left-hand side of the pea tree
187,f,right have you got washed stones at all,f|right have you got washed stones at all
188,M,no,M|no
189,f,okay am i below the pebbled shore,f|okay am i below the pebbled shore
190,M,"!!!'!!""!!","M|!!!'!!""!!"
191,f,to the left of it,f|to the left of it
192,M,yeah you're about an inch and a half under the pea tree,M|yeah you're about an inch and a half under the pea tree
193,f,and eh,f|and eh
194,M,and then go round it to the left,M|and then go round it to the left
195,f,beside the left-hand side of the page,f|beside the left-hand side of the page
196,M,no,M|no
197,f,right,f|right
198,M,right and then you go up the left hand side of it and you go along to the top of it you go past the west side of west lake,M|right and then you go up the left hand side of it and you go along to the top of it you go past the west side of west lake
199,f,mmhmm just to just beside me just to the right of me now,f|mmhmm just to just beside me just to the right of me now
200,M,right and go up to about the middle of the map just to make sure you miss it,M|right and go up to about the middle of the map just to make sure you miss it
201,f,uh-huh,f|uh-huh
202,M,and you're about three inches away from the edge of the page,M|and you're about three inches away from the edge of the page
203,f,the eh the bay bit that the flagship's in,f|the eh the bay bit that the flagship's in
204,M,yeah,M|yeah
205,f,mmhmm,f|mmhmm
206,M,that's it,M|that's it
207,f,okay okay there you go,f|okay okay there you go
208,M,ok,M|ok
209,f,aye,f|aye
