,Speaker,Utterance,Unified
5,B,Uh-huh.,B|Uh-huh.
23,B,"I think, I think the regular schedule stuff, um, that when you say everybody get out of it, that's a good point, I never really thought of it that way.","B|I think, I think the regular schedule stuff, um, that when you say everybody get out of it, that's a good point, I never really thought of it that way."
24,M,"Oh, well, that's","M|Oh, well, that's"
25,B,"Yeah, if they really can,  um, I think the the biggest problem I've got is, is forcing it on someone after they've already agreed to the terms of employment.","B|Yeah, if they really can,  um, I think the the biggest problem I've got is, is forcing it on someone after they've already agreed to the terms of employment."
26,M,You?,M|You?
27,B,"Um, as far as the new hires, I, I hired on just early enough that I, I missed it. Um, where the new hires were concerned but, uh, not, nobody, no, I don't think anybody questions that, um, testing someone as a, as a precondition to being hired but, um, for the conditions that, for our employment to change while you're on the job that's, I, I don't know, that, that's where I think that most people get upset. It's, uh, you know, it, it's changing the rules in the middle of the game basically and, uh, It's just, it, it's a really tough question","B|Um, as far as the new hires, I, I hired on just early enough that I, I missed it. Um, where the new hires were concerned but, uh, not, nobody, no, I don't think anybody questions that, um, testing someone as a, as a precondition to being hired but, um, for the conditions that, for our employment to change while you're on the job that's, I, I don't know, that, that's where I think that most people get upset. It's, uh, you know, it, it's changing the rules in the middle of the game basically and, uh, It's just, it, it's a really tough question"
28,M,i,M|i
29,B,"and it, you know, it, people have, have really quieted down after everything started but I still think there's a lot of, there's a lot of resentment.","B|and it, you know, it, people have, have really quieted down after everything started but I still think there's a lot of, there's a lot of resentment."
30,M,...,M|...
31,B,Uh-huh. You bet.,B|Uh-huh. You bet.
32,M,no,M|no
33,B,"No,  that's right.","B|No,  that's right."
34,M,"Oh, uh","M|Oh, uh"
35,B,"Yeah, I, I know of some people who did, uh, it was, it was indirectly related, you know, they could always come up with other reasons but it, it had a lot to do with it. Just the, the whole attitude, because it's really, uh, it's just really, it, it seems so T I, you know, with the, the whole relaxed atmosphere that we have, um, to all of a sudden, uh, search for attitudes and whatnot.","B|Yeah, I, I know of some people who did, uh, it was, it was indirectly related, you know, they could always come up with other reasons but it, it had a lot to do with it. Just the, the whole attitude, because it's really, uh, it's just really, it, it seems so T I, you know, with the, the whole relaxed atmosphere that we have, um, to all of a sudden, uh, search for attitudes and whatnot."
36,M,i.,M|i.
37,B,"You know, there's not a lot of pressure to, to vote the right way or anything else around T I. Like there, like there is in some companies or at least, you know, from what I've heard,","B|You know, there's not a lot of pressure to, to vote the right way or anything else around T I. Like there, like there is in some companies or at least, you know, from what I've heard,"
38,M,"It, I, you, or...","M|It, I, you, or..."
39,B,"but, uh,  yeah","B|but, uh,  yeah"
40,M,You've,M|You've
41,B,"Uh-huh. No, I,","B|Uh-huh. No, I,"
42,M,"uuh, you","M|uuh, you"
43,B,"Absolutely not, you know, it's, it's, it's, you know, if you hired me I'll be, you know, supposedly your grade was a little majority of my views and my qualifications to begin with so, uh, you know, let's, let's stick with that original trust, I guess.","B|Absolutely not, you know, it's, it's, it's, you know, if you hired me I'll be, you know, supposedly your grade was a little majority of my views and my qualifications to begin with so, uh, you know, let's, let's stick with that original trust, I guess."
44,M,"yeah, I, uh, think you're, you know, gonna,","M|yeah, I, uh, think you're, you know, gonna,"
45,B,"But, uh, it's, it's still, it, it still remains a tough question and, it's, there's a lot of, you know, the whole, the whole department of defense, uh, reasoning behind the original plan and whatnot. There's a lot of different things that, uh, come into play but that was, I think everybody, everybody pretty much knows that that was kind of a smoke screen to implement it throughout the whole company.","B|But, uh, it's, it's still, it, it still remains a tough question and, it's, there's a lot of, you know, the whole, the whole department of defense, uh, reasoning behind the original plan and whatnot. There's a lot of different things that, uh, come into play but that was, I think everybody, everybody pretty much knows that that was kind of a smoke screen to implement it throughout the whole company."
46,M,,M|
47,B,Uh-huh.,B|Uh-huh.
48,M,It,M|It
49,B,"I really don't think so. Yeah. I really don't because, some people are going to, are, are going to risk it, um, it may prevent, I, I guess, I guess what I'm trying to get at is, if it, if it, if it does help a few individuals maybe, maybe it's worth it.","B|I really don't think so. Yeah. I really don't because, some people are going to, are, are going to risk it, um, it may prevent, I, I guess, I guess what I'm trying to get at is, if it, if it, if it does help a few individuals maybe, maybe it's worth it."
50,M,It,M|It
51,B,"Um, you know, it may prevent somebody who was, was teetering on the edge of experimenting or whatnot but, uh, I don't know if, you know, the, it's, it's a needs of the few and the needs of the many type situation I don't know if everybody should have to sacrifice quite as much. There, there's still a big question in my mind that, the, the absolute refusal to accept the possibility of, of mistakes on the testing, is something that still bothers me.","B|Um, you know, it may prevent somebody who was, was teetering on the edge of experimenting or whatnot but, uh, I don't know if, you know, the, it's, it's a needs of the few and the needs of the many type situation I don't know if everybody should have to sacrifice quite as much. There, there's still a big question in my mind that, the, the absolute refusal to accept the possibility of, of mistakes on the testing, is something that still bothers me."
52,M,,M|
53,B,"It, it's,","B|It, it's,"
54,M,",","M|,"
55,B,Uh-huh.,B|Uh-huh.
56,M,"I, and","M|I, and"
57,B,"Uh-huh. Absolutely. And that, I, I don't know if, uh, I don't know if everybody understands all the implications on that too. even if you, you know, if you take, uh, a, a drug that was prescribed for you but the, the prescription has run out you still had some left and you happen to take an extra penicillin, well, penicillin's not on the list but, you know,","B|Uh-huh. Absolutely. And that, I, I don't know if, uh, I don't know if everybody understands all the implications on that too. even if you, you know, if you take, uh, a, a drug that was prescribed for you but the, the prescription has run out you still had some left and you happen to take an extra penicillin, well, penicillin's not on the list but, you know,"
58,M,,M|
59,B,"yeah, I, I think you understand what I'm getting at,","B|yeah, I, I think you understand what I'm getting at,"
60,M,"I, you, you're, you are, you...","M|I, you, you're, you are, you..."
61,B,"it, it can still show up and it can still flag as a positive and, and those kinds of things obviously that's not the intent,","B|it, it can still show up and it can still flag as a positive and, and those kinds of things obviously that's not the intent,"
62,M,That's what i'm the way,M|That's what i'm the way
63,B,"and, uh, those are the kinds of things that still can show up.","B|and, uh, those are the kinds of things that still can show up."
64,M,It's not really a negative.,M|It's not really a negative.
65,B,Uh-huh.,B|Uh-huh.
66,M,"Uh, I'm not sure what you mean by that","M|Uh, I'm not sure what you mean by that"
67,B,That's right.,B|That's right.
68,M,They don't have any left.,M|They don't have any left.
69,B,"That's right. I even had friends when I was going to college who were in, uh, pharmacy school and they could legally, um, provide medicine to their family family members and friends certain medicines were, were legal now I, I, I believe, you know, any of the, any of the ones we would, we would be tested for wouldn't be on those lists,","B|That's right. I even had friends when I was going to college who were in, uh, pharmacy school and they could legally, um, provide medicine to their family family members and friends certain medicines were, were legal now I, I, I believe, you know, any of the, any of the ones we would, we would be tested for wouldn't be on those lists,"
70,M,They're illegal.,M|They're illegal.
71,B,"but, uh, um, there were certain things that they could provide without a doctors prescription based on their qualifications and,  that can happen.","B|but, uh, um, there were certain things that they could provide without a doctors prescription based on their qualifications and,  that can happen."
72,M,"Yeah, and there's also the whole'you and there '.","M|Yeah, and there's also the whole'you and there '."
73,B,"But, uh,","B|But, uh,"
74,M,Well,M|Well
75,B,"Yeah, yeah, I think so","B|Yeah, yeah, I think so"
76,M,"Yeah, yeah, yeah.","M|Yeah, yeah, yeah."
77,B,You too.,B|You too.
78,M,I hope you enjoy your day,M|I hope you enjoy your day
79,B,Good-bye.,B|Good-bye.
