,Speaker,Utterance,Unified
5,B,What part of Pittsburgh?,B|What part of Pittsburgh?
47,B,"Oh, uh-huh.","B|Oh, uh-huh."
48,M,"Well, uh, I'm sorry.","M|Well, uh, I'm sorry."
49,B,"Uh, Grapevine, do you know Grapevine?","B|Uh, Grapevine, do you know Grapevine?"
50,M,"Oh, uh, Grapevine?","M|Oh, uh, Grapevine?"
51,B,"Yeah, my brother has a home there he's trying to sell. He, he's living now up, uh, in, in Maryland but, uh, he, lived in Grapevine for a long time.","B|Yeah, my brother has a home there he's trying to sell. He, he's living now up, uh, in, in Maryland but, uh, he, lived in Grapevine for a long time."
52,M,That's a long way from my home.,M|That's a long way from my home.
53,B,"Uh-huh, uh-huh.","B|Uh-huh, uh-huh."
54,M,"Uh, uh, uh?","M|Uh, uh, uh?"
55,B,"Oh, it's terrible. I,","B|Oh, it's terrible. I,"
56,M,,M|
57,B,"Oh, I'm not surprised.","B|Oh, I'm not surprised."
58,M,That's not true.,M|That's not true.
59,B,"Uh, right, right. Right, right.","B|Uh, right, right. Right, right."
60,M,"And it's, uh, what?","M|And it's, uh, what?"
61,B,"Yeah, yeah, it's not good","B|Yeah, yeah, it's not good"
62,M,It's not like I'm gonna have any issues with it.,M|It's not like I'm gonna have any issues with it.
63,B,"And the people think the income is really great in some of those areas but when they sit down and look at what it costs to live and, uh, of course, most of the homes are, you know, fairly nice, they're, uh, done up fairly nice, uh,","B|And the people think the income is really great in some of those areas but when they sit down and look at what it costs to live and, uh, of course, most of the homes are, you know, fairly nice, they're, uh, done up fairly nice, uh,"
64,M,The government is a pretty good place to start.,M|The government is a pretty good place to start.
65,B,"Right, uh-huh, Uh-huh.","B|Right, uh-huh, Uh-huh."
66,M,This is like a 2 by 2plex.,M|This is like a 2 by 2plex.
67,B,"Well, prices have come down on the homes, the duplexes.","B|Well, prices have come down on the homes, the duplexes."
68,M,"That's, price.","M|That's, price."
69,B,Uh-huh.,B|Uh-huh.
70,M,"It's uh, nice to see the neighborhood that's been around for a while.","M|It's uh, nice to see the neighborhood that's been around for a while."
71,B,"Oh, my heaven.","B|Oh, my heaven."
72,M,... a thousand dollars.,M|... a thousand dollars.
73,B,"Well, I know up in Connecticut the same thing happened, people are devastated because they paid so much for their home.","B|Well, I know up in Connecticut the same thing happened, people are devastated because they paid so much for their home."
74,M,I live in Texas and I'm so confused.,M|I live in Texas and I'm so confused.
75,B,"But we like our area. It, like I said, it's, it's an old house and everything","B|But we like our area. It, like I said, it's, it's an old house and everything"
76,M,I've lived here for almost 5 years and it is the best place on earth.,M|I've lived here for almost 5 years and it is the best place on earth.
77,B,"but, uh,","B|but, uh,"
78,M,It's a small place.,M|It's a small place.
79,B,"Well, we're about a hundred miles from Pittsburgh north.","B|Well, we're about a hundred miles from Pittsburgh north."
80,M,"Well, we are not in Pennsylvania.","M|Well, we are not in Pennsylvania."
81,B,"And yeah, and it's, it's really not, you know, not that far.","B|And yeah, and it's, it's really not, you know, not that far."
82,M,"It's really only about a mile from Pennsylvania, I think.","M|It's really only about a mile from Pennsylvania, I think."
83,B,Bradford's north of us.,B|Bradford's north of us.
84,M,We're not all from the north.,M|We're not all from the north.
85,B,"No, no.","B|No, no."
86,M,I'm not that close.,M|I'm not that close.
87,B,Uh-huh.,B|Uh-huh.
88,M,"I'm sorry, but you're being a little...","M|I'm sorry, but you're being a little..."
89,B,"Well, we've been here since sixty-six.","B|Well, we've been here since sixty-six."
90,M,I've been around since the beginning.,M|I've been around since the beginning.
91,B,"Uh, we have fifty acres.","B|Uh, we have fifty acres."
92,M,"Well, uh, we have two, I guess.","M|Well, uh, we have two, I guess."
93,B,"Oh, pardon me, we have forty, we gave ten to one of our children","B|Oh, pardon me, we have forty, we gave ten to one of our children"
94,M,"And we've got fifty, you've got ten.","M|And we've got fifty, you've got ten."
95,B,"No, not really, and, and towns keep creeping closer and closer, you know.","B|No, not really, and, and towns keep creeping closer and closer, you know."
96,M,Do you ever feel lonely?,M|Do you ever feel lonely?
97,B,"Uh-huh, uh-huh.","B|Uh-huh, uh-huh."
98,M,This is my,M|This is my
99,B,"Yeah, it's ours up here. We have, our rural connections are real bad","B|Yeah, it's ours up here. We have, our rural connections are real bad"
100,M,"It's a joke, you know.","M|It's a joke, you know."
101,B,"But we, but we live about ten miles from probably three or four, not large towns but, you know, reasonable.","B|But we, but we live about ten miles from probably three or four, not large towns but, you know, reasonable."
102,M,"I don't know. I'm in the south, but I don't live near any towns.","M|I don't know. I'm in the south, but I don't live near any towns."
103,B,"Uh, yeah, we're tired of doing it though. We, we don't want to do too much more","B|Uh, yeah, we're tired of doing it though. We, we don't want to do too much more"
104,M,Are you sure?,M|Are you sure?
105,B,"Uh, oh, golly, I really.","B|Uh, oh, golly, I really."
106,M,"You know, a lot of people do","M|You know, a lot of people do"
107,B,"We have, uh, uh, four rooms downstairs, and a pantry","B|We have, uh, uh, four rooms downstairs, and a pantry"
108,M,"I have a panty, and a kitchen, and we have a bed, but I don't know what to do with it.","M|I have a panty, and a kitchen, and we have a bed, but I don't know what to do with it."
109,B,"and upstairs we have a bath, a bath, oh we, have a half bath downstairs, too.","B|and upstairs we have a bath, a bath, oh we, have a half bath downstairs, too."
110,M,"we have a bathroom, we have two rooms, we both have a floor, we had a toilet, we're all the same","M|we have a bathroom, we have two rooms, we both have a floor, we had a toilet, we're all the same"
111,B,"We have a bath upstairs, and one, two, three, four bedrooms and a sewing room and a junk room And, uh,","B|We have a bath upstairs, and one, two, three, four bedrooms and a sewing room and a junk room And, uh,"
112,M,"we have a toilet, and a bathroom","M|we have a toilet, and a bathroom"
113,B,Pardon?,B|Pardon?
114,M,"I know, but you can have a junk and a bath together","M|I know, but you can have a junk and a bath together"
115,B,"Well, it really isn't too big yet. We, we a lot of people say that but, um, it's,","B|Well, it really isn't too big yet. We, we a lot of people say that but, um, it's,"
116,M,I'm pretty sure it's a big deal.,M|I'm pretty sure it's a big deal.
117,B,"we just like it real well Yeah,","B|we just like it real well Yeah,"
118,M,"I don't know, I guess I'm just a little biased","M|I don't know, I guess I'm just a little biased"
119,B,"we had five children, so and they've all moved you know, on.","B|we had five children, so and they've all moved you know, on."
120,M,"We have, it's just so far away","M|We have, it's just so far away"
121,B,They're all out on their own now.,B|They're all out on their own now.
122,M,"But they're all dead, right?","M|But they're all dead, right?"
123,B,Uh-huh.,B|Uh-huh.
124,M,A little.,M|A little.
125,B,"Well, it sounds like a good buy.","B|Well, it sounds like a good buy."
126,M,It's not.,M|It's not.
127,B,Uh-huh.,B|Uh-huh.
128,M,"That's not really a good deal, is it?","M|That's not really a good deal, is it?"
129,B,"Oh, that makes a big difference.","B|Oh, that makes a big difference."
130,M,"I have a lot of family that lives in Minneapolis, so I'm not going to be able to rent a house.","M|I have a lot of family that lives in Minneapolis, so I'm not going to be able to rent a house."
131,B,"Uh-huh. You really aren't isolated because it's, the advantages, your home is far enough away that you're not bothered by being too close to people,","B|Uh-huh. You really aren't isolated because it's, the advantages, your home is far enough away that you're not bothered by being too close to people,"
132,M,"Ummm, you're.","M|Ummm, you're."
133,B,"but yet you can have your friends, uh, you can have them in, you can go out.","B|but yet you can have your friends, uh, you can have them in, you can go out."
134,M,I can't be bothered to leave my house.,M|I can't be bothered to leave my house.
135,B,"You have more of a choice, you're not pressed upon as bad.","B|You have more of a choice, you're not pressed upon as bad."
136,M,Hmmm... I'm not sure I'm too far in.,M|Hmmm... I'm not sure I'm too far in.
137,B,Uh-huh.,B|Uh-huh.
138,M,I'm not even sure.,M|I'm not even sure.
139,B,"Uh, uh-huh. Uh-huh.","B|Uh, uh-huh. Uh-huh."
140,M,Ohh... uh... huh,M|Ohh... uh... huh
141,B,"More luxury. Uh-huh, uh-huh.","B|More luxury. Uh-huh, uh-huh."
142,M,"I'm in, I'm","M|I'm in, I'm"
143,B,"Right, yeah.","B|Right, yeah."
144,M,I know,M|I know
145,B,"Uh, they're, yeah, I suppose they are now. We, both of our children who live there have just bought a home. Uh, in the Mount Lebanon area.","B|Uh, they're, yeah, I suppose they are now. We, both of our children who live there have just bought a home. Uh, in the Mount Lebanon area."
146,M,"I'm sorry, I don't understand what you're saying.","M|I'm sorry, I don't understand what you're saying."
147,B,"And, uh, the one, the one boy, the house they bought is completely livable. They didn't have to do much to it.","B|And, uh, the one, the one boy, the house they bought is completely livable. They didn't have to do much to it."
148,M,You.,M|You.
149,B,"The other one is, uh, uh, has, you know, needs more work done. It's twenty years old, I think.","B|The other one is, uh, uh, has, you know, needs more work done. It's twenty years old, I think."
150,M,Oh yeah? How about the other one?,M|Oh yeah? How about the other one?
151,B,"And, but they have two children, too, and they, they bought what they could afford.","B|And, but they have two children, too, and they, they bought what they could afford."
152,M,"But they have, uh, their, uh kids, uh","M|But they have, uh, their, uh kids, uh"
153,B,Uh-huh.,B|Uh-huh.
154,M,"They've been living in Penn Hill, they've had a house, they can live in their own house.","M|They've been living in Penn Hill, they've had a house, they can live in their own house."
155,B,Uh-huh.,B|Uh-huh.
156,M,They are.,M|They are.
157,B,They are beautiful homes.,B|They are beautiful homes.
158,M,Uuhhh. I'm not sure what you're trying to say.,M|Uuhhh. I'm not sure what you're trying to say.
159,B,"Uh-huh, uh-huh.","B|Uh-huh, uh-huh."
160,M,"Uhuh, uhuh","M|Uhuh, uhuh"
161,B,"It is, it's real nice.","B|It is, it's real nice."
162,M,Is this real?,M|Is this real?
163,B,Uh-huh.,B|Uh-huh.
164,M,"Yeah, it's nice","M|Yeah, it's nice"
165,B,"Oh, my you you do when you When we first got married, uh, my husband works for the state, and we moved once a year usually","B|Oh, my you you do when you When we first got married, uh, my husband works for the state, and we moved once a year usually"
166,M,When did you first move to Texas?,M|When did you first move to Texas?
167,B,"And then after they had to start paying to move us, that suddenly wasn't necessary any more","B|And then after they had to start paying to move us, that suddenly wasn't necessary any more"
168,M,And the state had to pay us to move to the state.,M|And the state had to pay us to move to the state.
169,B,"Right, yeah, you have to stop some place, yeah.","B|Right, yeah, you have to stop some place, yeah."
170,M,...,M|...
171,B,Yeah.,B|Yeah.
172,M,"so it's a place, yeah?","M|so it's a place, yeah?"
173,B,"Uh-huh. I do too,","B|Uh-huh. I do too,"
174,M,"Well, we've been considering Pennsylvania, and we think we're going to be okay.","M|Well, we've been considering Pennsylvania, and we think we're going to be okay."
175,B,"I've heard too many people say, I hate it here.","B|I've heard too many people say, I hate it here."
176,M,You have a house in a nice neighborhood and you live in a city. I don't think it matters.,M|You have a house in a nice neighborhood and you live in a city. I don't think it matters.
177,B,"You know, they buy a place and they just hate the area.","B|You know, they buy a place and they just hate the area."
178,M,"Ohh, I see.","M|Ohh, I see."
179,B,Uh-huh.,B|Uh-huh.
180,M,Well I hate Dallas,M|Well I hate Dallas
181,B,"Uh-huh. Yeah, well, my brother, they're having trouble selling their home, see.","B|Uh-huh. Yeah, well, my brother, they're having trouble selling their home, see."
182,M,But... but I'm gonna be there in five years!,M|But... but I'm gonna be there in five years!
183,B,"Right, uh-huh. Oh, yeah, yeah.","B|Right, uh-huh. Oh, yeah, yeah."
184,M,"Yeah, I'm going to the police","M|Yeah, I'm going to the police"
185,B,"Uh-huh, uh-huh.","B|Uh-huh, uh-huh."
186,M,You know,M|You know
187,B,"Oh, uh-huh. Yeah.","B|Oh, uh-huh. Yeah."
188,M,... and,M|... and
189,B,"I, I couldn't handle that","B|I, I couldn't handle that"
190,M,"You know, you could, uh, have a home...","M|You know, you could, uh, have a home..."
191,B,Uh-huh.,B|Uh-huh.
192,M,"Yeah, I can't even look.","M|Yeah, I can't even look."
193,B,Uh-huh.,B|Uh-huh.
194,M,And it's not even a real grass.,M|And it's not even a real grass.
195,B,"I get tired, uh, sometimes, mowing, because we mow, you know, a good bit of ground around the house area.","B|I get tired, uh, sometimes, mowing, because we mow, you know, a good bit of ground around the house area."
196,M,"Oh, well, I just really like the place.","M|Oh, well, I just really like the place."
197,B,"And I do get tired of that but, uh, I don't know, I don't think I'd want to change it.","B|And I do get tired of that but, uh, I don't know, I don't think I'd want to change it."
198,M,You do.,M|You do.
