,Speaker,Utterance,Unified
5,B,Do they have many buildings that have security there?,B|Do they have many buildings that have security there?
39,B,"And the man said, that, you know, if it weren't for the fact that he would go to jail, that he would eliminate this person himself. And then go to McDonalds and have a hamburger and not thing a thing, think a thing about it.","B|And the man said, that, you know, if it weren't for the fact that he would go to jail, that he would eliminate this person himself. And then go to McDonalds and have a hamburger and not thing a thing, think a thing about it."
40,M,I don't think so.,M|I don't think so.
41,B,"And I mean, I think that what this is going to lead to is people will take things into their own hands. And that innocent people,","B|And I mean, I think that what this is going to lead to is people will take things into their own hands. And that innocent people,"
42,M,I think it's going to be a good,M|I think it's going to be a good
43,B,"I, I shouldn't say innocent, because I mean, actually if they commit a crime that they're in the same circumstances but,","B|I, I shouldn't say innocent, because I mean, actually if they commit a crime that they're in the same circumstances but,"
44,M,"Well, the judge said","M|Well, the judge said"
45,B,"the reasons that they're doing it compared to the reason someone else is in jail for it, you know, it's like two different things.","B|the reasons that they're doing it compared to the reason someone else is in jail for it, you know, it's like two different things."
46,M,What are you talking about?,M|What are you talking about?
47,B,"Sometimes when you lose someone that you really love, you do some crazy things I don't know,","B|Sometimes when you lose someone that you really love, you do some crazy things I don't know,"
48,M,"I know, I've been there for a while.","M|I know, I've been there for a while."
49,B,"I, I like the idea that, uh, if someone is from a foreign country, and they come to this country and uh, commit, a crime, I think that irregardless of whether they have already become a citizen or anything, they should be immediately deported.","B|I, I like the idea that, uh, if someone is from a foreign country, and they come to this country and uh, commit, a crime, I think that irregardless of whether they have already become a citizen or anything, they should be immediately deported."
50,M,So...,M|So...
51,B,Especially if they're found guilty of the crime.,B|Especially if they're found guilty of the crime.
52,M,"If they are not convicted, then they are considered guilty.","M|If they are not convicted, then they are considered guilty."
53,B,"You know, once they, they have been arrested and if they know beyond a shadow of a doubt, these people are guilty.","B|You know, once they, they have been arrested and if they know beyond a shadow of a doubt, these people are guilty."
54,M,"No, but they are.","M|No, but they are."
55,B,"That's it, we don't take care of them, we don't support them, nothing,","B|That's it, we don't take care of them, we don't support them, nothing,"
56,M,So do we have a policy against those who don't know the crime?,M|So do we have a policy against those who don't know the crime?
57,B,I mean they go right back where they came from.,B|I mean they go right back where they came from.
58,M,What? You mean the ones that were there before you?,M|What? You mean the ones that were there before you?
59,B,"Exactly and,","B|Exactly and,"
60,M,"They can't, because they're not a country.","M|They can't, because they're not a country."
61,B,"But that's, uh, they're, so close, I, I don't consider Mexican people in the same category with, uh, especially like, uh, people who come from cultures that don't have the same, uh, kind of moral upbringing that we have.","B|But that's, uh, they're, so close, I, I don't consider Mexican people in the same category with, uh, especially like, uh, people who come from cultures that don't have the same, uh, kind of moral upbringing that we have."
62,M,I'm sorry.,M|I'm sorry.
63,B,"Like you take Asian countries, or, uh, the Eastern countries where women are like in the foreground, uh, in the background and the men are in the foreground,","B|Like you take Asian countries, or, uh, the Eastern countries where women are like in the foreground, uh, in the background and the men are in the foreground,"
64,M,"The, uh, foreground?","M|The, uh, foreground?"
65,B,"and it's like, you know, um, they live back in where we came from two hundred years ago.","B|and it's like, you know, um, they live back in where we came from two hundred years ago."
66,M,It's,M|It's
67,B,"You know, we've advanced beyond that, and I think that their, uh, mentality as far as the way they treat them and that kind of thing, you know what I mean.","B|You know, we've advanced beyond that, and I think that their, uh, mentality as far as the way they treat them and that kind of thing, you know what I mean."
68,M,... but the men's bathroom?,M|... but the men's bathroom?
69,B,Uh-huh.,B|Uh-huh.
70,M,"I'm... I'm not sure, you know, how it works.","M|I'm... I'm not sure, you know, how it works."
71,B,Yeah.,B|Yeah.
72,M,,M|
73,B,Wow.,B|Wow.
74,M,i.,M|i.
75,B,"Wow. You better believe it, if, you wouldn't even have to leave it, I mean,","B|Wow. You better believe it, if, you wouldn't even have to leave it, I mean,"
76,M,No,M|No
77,B,it would get snatched right off your arm,B|it would get snatched right off your arm
78,M,"If you could just leave it in the car, it would be nice.","M|If you could just leave it in the car, it would be nice."
79,B,Oh sure.,B|Oh sure.
80,M,"Well, the only thing I would be afraid of is the possibility of a potential kidnapping if someone is there, and I wouldn't want to be in that situation.","M|Well, the only thing I would be afraid of is the possibility of a potential kidnapping if someone is there, and I wouldn't want to be in that situation."
81,B,"That's amazing, well, what's the difference there, do you know?","B|That's amazing, well, what's the difference there, do you know?"
82,M,Well I am from Texas and I can't believe I didn't think about,M|Well I am from Texas and I can't believe I didn't think about
83,B,"Oh, I, I believe in the death penalty, I really do.","B|Oh, I, I believe in the death penalty, I really do."
84,M,"If you're not sure, you should be.","M|If you're not sure, you should be."
85,B,"Yeah, yeah, I think that we're too easy.","B|Yeah, yeah, I think that we're too easy."
86,M,So is that the death sentence?,M|So is that the death sentence?
87,B,"Uh, and we take the, the, uh, civil liberties, uh, stuff too far.","B|Uh, and we take the, the, uh, civil liberties, uh, stuff too far."
88,M,"I'm sorry, but I think we're all out of ideas here.","M|I'm sorry, but I think we're all out of ideas here."
89,B,"You know like people that are in prison, I mean we didn't put them there. They put themselves in that situation.","B|You know like people that are in prison, I mean we didn't put them there. They put themselves in that situation."
90,M,"Uhhh, like people who are in jail, uh, huh.","M|Uhhh, like people who are in jail, uh, huh."
91,B,"And as far as like them, uh, entertaining the rights that they should have.","B|And as far as like them, uh, entertaining the rights that they should have."
92,M,"Uhh, uh, interesting.","M|Uhh, uh, interesting."
93,B,"I mean, we educate them, we feed them, we take care of them and they no sooner get out on the street and they're back in again.","B|I mean, we educate them, we feed them, we take care of them and they no sooner get out on the street and they're back in again."
94,M,So what's the deal with them?,M|So what's the deal with them?
95,B,"I'm not saying they're all bad, but I think people who are guilty of really serious heinous crimes, do not deserve to be cared for for the rest of their lives.","B|I'm not saying they're all bad, but I think people who are guilty of really serious heinous crimes, do not deserve to be cared for for the rest of their lives."
96,M,"Well, if they are guilty, they are not bad people.","M|Well, if they are guilty, they are not bad people."
97,B,I think that they should be put away.,B|I think that they should be put away.
98,M,"Yeah, but they should have been.","M|Yeah, but they should have been."
99,B,"Get rid of them. Exactly. I, I really, I, I think that that's the whole key here. This plea bargaining baloney, where, uh, you know, they plead to a lesser crime, or, uh, they plead guilty in, or, you know, tell about someone else and they, they get less time,","B|Get rid of them. Exactly. I, I really, I, I think that that's the whole key here. This plea bargaining baloney, where, uh, you know, they plead to a lesser crime, or, uh, they plead guilty in, or, you know, tell about someone else and they, they get less time,"
100,M,"I, eh?","M|I, eh?"
101,B,"Or, if they're in there and they've got seventeen years and they're on good behavior, for every year they're in they get so many less, you know, that they don't serve the full penalty.","B|Or, if they're in there and they've got seventeen years and they're on good behavior, for every year they're in they get so many less, you know, that they don't serve the full penalty."
102,M,I'm,M|I'm
103,B,"I, I, I really think we're going to far overboard with all of this.","B|I, I, I really think we're going to far overboard with all of this."
104,M,H.,M|H.
105,B,"Yeah, same with drunk drivers.","B|Yeah, same with drunk drivers."
106,M,This is a great point.,M|This is a great point.
107,B,I think it's too easy for them.,B|I think it's too easy for them.
108,M,So you're saying there's a chance?,M|So you're saying there's a chance?
109,B,"That if the, the laws, and, and were, were harsher and were enforced,","B|That if the, the laws, and, and were, were harsher and were enforced,"
110,M,Well I guess that's the law,M|Well I guess that's the law
111,B,I mean you have to set an example. You have to start somewhere.,B|I mean you have to set an example. You have to start somewhere.
112,M,This is what I'm saying.,M|This is what I'm saying.
113,B,"And I think that people know that they're going to get a slap on the wrist, they might serve a little bit of time and that they'll be out on the street again.","B|And I think that people know that they're going to get a slap on the wrist, they might serve a little bit of time and that they'll be out on the street again."
114,M,They are in the UK,M|They are in the UK
115,B,"An, it, an I feel bad for the policeman, because he's out there every day facing these people. This, this craziness, you know, people with, uh, automatic weapons and, uh, all this other stuff and trying to do a job","B|An, it, an I feel bad for the policeman, because he's out there every day facing these people. This, this craziness, you know, people with, uh, automatic weapons and, uh, all this other stuff and trying to do a job"
116,M,"Ugh, that's the thing.","M|Ugh, that's the thing."
117,B,"and let's face it, what do they get paid.","B|and let's face it, what do they get paid."
118,M,I think it's because the police are trained,M|I think it's because the police are trained
119,B,"Twenty thousand dollars a year, if they're lucky. I wouldn't do it for that.","B|Twenty thousand dollars a year, if they're lucky. I wouldn't do it for that."
120,M,How much?,M|How much?
121,B,"It is, it really is. And I mean, they're the first ones that take the brunt of everything.","B|It is, it really is. And I mean, they're the first ones that take the brunt of everything."
122,M,Is it legal to own a,M|Is it legal to own a
123,B,"You know, and I'm not saying that they're all good either, because there's good and bad in everything,","B|You know, and I'm not saying that they're all good either, because there's good and bad in everything,"
124,M,I don't like to talk about it,M|I don't like to talk about it
125,B,"but they, they're already, uh, have three strikes against them when they're out there.","B|but they, they're already, uh, have three strikes against them when they're out there."
126,M,"They're all the best, so that's all that matters.","M|They're all the best, so that's all that matters."
127,B,"Because they'll arrest someone and, you know, go through all that paperwork and writing a report and all this, and having all kinds of evidence and you have to even be careful how you arrest them, how you talk to them, uh, you know, what they say,","B|Because they'll arrest someone and, you know, go through all that paperwork and writing a report and all this, and having all kinds of evidence and you have to even be careful how you arrest them, how you talk to them, uh, you know, what they say,"
