,Speaker,Utterance,Unified
5,M,"Uh, uh.","M|Uh, uh."
59,M,"She's a golden retriever, not a pitbull.","M|She's a golden retriever, not a pitbull."
60,B,"But she's, uh, she's that sort of strawberry blonde reddish color, you know.","B|But she's, uh, she's that sort of strawberry blonde reddish color, you know."
61,M,I don't know. I'm just a little confused by this whole thing.,M|I don't know. I'm just a little confused by this whole thing.
62,B,"And, uh, and her nose is that pink, you know,","B|And, uh, and her nose is that pink, you know,"
63,M,"I don't know, but, you know, it's in the title.","M|I don't know, but, you know, it's in the title."
64,B,"she doesn't have a brown nose, and her she's sort of unicolor, you know, eyes are the same color and everything,","B|she doesn't have a brown nose, and her she's sort of unicolor, you know, eyes are the same color and everything,"
65,M,Oh. Oh. Oh...,M|Oh. Oh. Oh...
66,B,"so. I named her Rosebud, and, uh, a friend of mine said, she, that she this friend of mine grew up on a farm and said that she had, uh, a pet cow named Rosebud and she said there's a lot of longevity in that name, said my cow lived seventeen years","B|so. I named her Rosebud, and, uh, a friend of mine said, she, that she this friend of mine grew up on a farm and said that she had, uh, a pet cow named Rosebud and she said there's a lot of longevity in that name, said my cow lived seventeen years"
67,M,"Oh, well.","M|Oh, well."
68,B,"Yeah, right.","B|Yeah, right."
69,M,"I mean, it's, no","M|I mean, it's, no"
70,B,"And she's so easy going and so sociable,","B|And she's so easy going and so sociable,"
71,M,I love the dog.,M|I love the dog.
72,B,"You know, she loves everybody. And little kids can just, you know, maul all over her,","B|You know, she loves everybody. And little kids can just, you know, maul all over her,"
73,M,I can't wait to see what she'll do to me.,M|I can't wait to see what she'll do to me.
74,B,"and she just, you know, thinks it's great.","B|and she just, you know, thinks it's great."
75,M,I'm sure she'll be fine,M|I'm sure she'll be fine
76,B,Uh-huh.,B|Uh-huh.
77,M,...,M|...
78,B,"Getting in, yeah.","B|Getting in, yeah."
79,M,i.way.way.,M|i.way.way.
80,B,"Oh, no.","B|Oh, no."
81,M,"But, uh, they're so fast.","M|But, uh, they're so fast."
82,B,Really.,B|Really.
83,M,"No, he had trouble with the river.","M|No, he had trouble with the river."
84,B,Did puppy go to?,B|Did puppy go to?
85,M,"He jumped in, in the river.","M|He jumped in, in the river."
86,B,"Oh, that's good, yeah.","B|Oh, that's good, yeah."
87,M,I had the dog in the pool.,M|I had the dog in the pool.
88,B,"Ugh, ugh.","B|Ugh, ugh."
89,M,I'm going to go with puppy.,M|I'm going to go with puppy.
90,B,"Yeah,","B|Yeah,"
91,M,I loved it.,M|I loved it.
92,B,Yeah.,B|Yeah.
93,M,I love it.,M|I love it.
94,B,"Well the German Shepherd that I had before, we, we had a little pool,","B|Well the German Shepherd that I had before, we, we had a little pool,"
95,M,"It was pretty cold when we rescued her, but she's just been a bit chilly lately.","M|It was pretty cold when we rescued her, but she's just been a bit chilly lately."
96,B,"and, uh, she was, she did not want any part of swimming but she liked to, to get in the pool on the first step. She'd just get on the first step and lay down. You know in the summertime when it's really, really hot.","B|and, uh, she was, she did not want any part of swimming but she liked to, to get in the pool on the first step. She'd just get on the first step and lay down. You know in the summertime when it's really, really hot."
97,M,"You know, I never really understood why she would do that. She just had a bit of a bad luck thing going on.","M|You know, I never really understood why she would do that. She just had a bit of a bad luck thing going on."
98,B,"And she'd just lay there on that step and just, you know, cool off","B|And she'd just lay there on that step and just, you know, cool off"
99,M,I'd like to think that she was just laying there waiting for the water to cool.,M|I'd like to think that she was just laying there waiting for the water to cool.
100,B,Uh-huh.,B|Uh-huh.
101,M,I.,M|I.
102,B,Yeah Well the one that we had just didn't want any part of that.,B|Yeah Well the one that we had just didn't want any part of that.
103,M,"No, I'm sorry.","M|No, I'm sorry."
104,B,"Yeah, and she, oh baths. Oh gee, she hated baths worse than anything. It was, it was just really a fight to, you know, get her clean.","B|Yeah, and she, oh baths. Oh gee, she hated baths worse than anything. It was, it was just really a fight to, you know, get her clean."
105,M,"Yes, I'm sure it was.","M|Yes, I'm sure it was."
106,B,"Have you seen, uh, CANINE. The movie, oh,","B|Have you seen, uh, CANINE. The movie, oh,"
107,M,"It's like, we're not there to fight.","M|It's like, we're not there to fight."
108,B,"you've got to see it. Especially since you have a German, it is so cute.","B|you've got to see it. Especially since you have a German, it is so cute."
109,M,I'm so sorry,M|I'm so sorry
110,B,"Yeah, and, uh, an part of the, the movie is where he's trying to clean this dog up and it's, it's just hysterical.","B|Yeah, and, uh, an part of the, the movie is where he's trying to clean this dog up and it's, it's just hysterical."
111,M,"oh, okay.","M|oh, okay."
112,B,Uh-huh.,B|Uh-huh.
113,M,What's the thing?,M|What's the thing?
114,B,"Yeah, well that's how Cleo, you know, she'd lay on her step,","B|Yeah, well that's how Cleo, you know, she'd lay on her step,"
115,M,"Well, you can't, I'll, I'm.","M|Well, you can't, I'll, I'm."
116,B,"but that was, that was the only time she wanted to get wet and she didn't want you getting her wet","B|but that was, that was the only time she wanted to get wet and she didn't want you getting her wet"
117,M,"Yeah, she said it was a bad idea.","M|Yeah, she said it was a bad idea."
118,B,"Yeah, but you really need to see that movie. I, I we bought the movie and I I don't know how many times I've seen it.","B|Yeah, but you really need to see that movie. I, I we bought the movie and I I don't know how many times I've seen it."
119,M,It's not really that hard to figure out. It's not like I'm just going to go and see it.,M|It's not really that hard to figure out. It's not like I'm just going to go and see it.
120,B,"And it came on T V the other night and I was watching it again, and my husband heard me laughing and he said I can't believe that you're still getting such a kick out of that movie","B|And it came on T V the other night and I was watching it again, and my husband heard me laughing and he said I can't believe that you're still getting such a kick out of that movie"
121,M,"Haha, that's awesome.","M|Haha, that's awesome."
122,B,It is great.,B|It is great.
123,M,"I've never seen it,","M|I've never seen it,"
124,B,Yeah.,B|Yeah.
125,M,Wait. I mean... are you sure?,M|Wait. I mean... are you sure?
126,B,"Well we always wait until we can rent them, you know","B|Well we always wait until we can rent them, you know"
127,M,Yeah I don't know.,M|Yeah I don't know.
128,B,Oh really.,B|Oh really.
129,M,I'm a soldier and I have a job.,M|I'm a soldier and I have a job.
130,B,Oh.,B|Oh.
131,M,Well you're a doctor,M|Well you're a doctor
132,B,Uh-huh.,B|Uh-huh.
133,M,... What?,M|... What?
134,B,"Oh, yeah, there's just,","B|Oh, yeah, there's just,"
135,M,"I like it, uh, there's also","M|I like it, uh, there's also"
136,B,"Right, that's it.","B|Right, that's it."
137,M,I know what you're saying.,M|I know what you're saying.
138,B,"Really, not critical at all.","B|Really, not critical at all."
139,M,You're not really giving it much of a chance.,M|You're not really giving it much of a chance.
140,B,"Yeah, they're really wonderful.","B|Yeah, they're really wonderful."
141,M,The only good thing about them is that they have the ability to be used in combat.,M|The only good thing about them is that they have the ability to be used in combat.
