,Speaker,Utterance,Unified
5,B,It's eighty eighty-eight?,B|It's eighty eighty-eight?
31,B,To try to make them more effective and useful.,B|To try to make them more effective and useful.
32,M,Um... um... what?,M|Um... um... what?
33,B,"Have you been, uh, struggling along those lines?","B|Have you been, uh, struggling along those lines?"
34,M,Yeah. I've been struggling along that line lately.,M|Yeah. I've been struggling along that line lately.
35,B,"Well, I think you will be real pleased to get away from the banana as I used to call it. It's, uh, I used it on, uh, some other machines in days gone by and was real pleased to leave it. It was a real memory hog when you started making large blot changes to it.","B|Well, I think you will be real pleased to get away from the banana as I used to call it. It's, uh, I used it on, uh, some other machines in days gone by and was real pleased to leave it. It was a real memory hog when you started making large blot changes to it."
36,M,...,M|...
37,B,"The, at least the version I had tended to keep copies of that. Of what you were changing and deleting off in memory until all of, all of a sudden you got a disc full error. Not a fun thing to try to recover from.","B|The, at least the version I had tended to keep copies of that. Of what you were changing and deleting off in memory until all of, all of a sudden you got a disc full error. Not a fun thing to try to recover from."
38,M,,M|
39,B,"Very frustrating. Uh, but again I've been dealing with large files both data and, and otherwise. Uh, that was a engineering spec on B two. You come here with the B level of specs?","B|Very frustrating. Uh, but again I've been dealing with large files both data and, and otherwise. Uh, that was a engineering spec on B two. You come here with the B level of specs?"
40,M,This.,M|This.
41,B,"Well, it's just a huge file that tries to describe the requirements of what you're trying to build. Uh, to one level down from assistant description.","B|Well, it's just a huge file that tries to describe the requirements of what you're trying to build. Uh, to one level down from assistant description."
42,M,I'm.,M|I'm.
43,B,"Well, I sure need them. Uh, there's no way that I could begin to process and keep up with the kinds of information or the magnitude of information that I need to, to try to do my job without them.","B|Well, I sure need them. Uh, there's no way that I could begin to process and keep up with the kinds of information or the magnitude of information that I need to, to try to do my job without them."
44,M,,M|
45,B,"Yes, uh, maybe you'll play around some and figure out how they can help you do different things. I think that's when you, you start deciding that you really need greater assets than you already have. When you start seeing what all they can do for you.","B|Yes, uh, maybe you'll play around some and figure out how they can help you do different things. I think that's when you, you start deciding that you really need greater assets than you already have. When you start seeing what all they can do for you."
46,M,what,M|what
47,B,"Well, I understand that you know. if, needs and wants were the same I'd have a four eighty-six machine at home","B|Well, I understand that you know. if, needs and wants were the same I'd have a four eighty-six machine at home"
48,M,You.,M|You.
49,B,Right.,B|Right.
50,M,I was thinking of the future.,M|I was thinking of the future.
51,B,"Uh, that's, came out around the first of the year.","B|Uh, that's, came out around the first of the year."
52,M,"I'm pretty sure the original was released in 2003, and the original version was released just a few months after.","M|I'm pretty sure the original was released in 2003, and the original version was released just a few months after."
53,B,"It does a few more things, uh, than had been available before.","B|It does a few more things, uh, than had been available before."
54,M,"Yeah, but it's been out for a while now.","M|Yeah, but it's been out for a while now."
55,B,"But I'm not sure that it's such a massive improvement. Uh, you know, once you get passed thirty-three megahertz, all help is, kind of lost in the, in the translation. Because you no longer can think that fast anyway.","B|But I'm not sure that it's such a massive improvement. Uh, you know, once you get passed thirty-three megahertz, all help is, kind of lost in the, in the translation. Because you no longer can think that fast anyway."
56,M,I'ma,M|I'ma
57,B,"Well, okay. I enjoyed our discussion.","B|Well, okay. I enjoyed our discussion."
58,M,"You're right, I was just thinking of it in a different way.","M|You're right, I was just thinking of it in a different way."
59,B,You do the same.,B|You do the same.
60,M,"Ah, well, you don't know me.","M|Ah, well, you don't know me."
61,B,Bye.,B|Bye.
