,Speaker,Utterance,Unified
5,B,Oh.,B|Oh.
30,M,A Nissan is not the best car.,M|A Nissan is not the best car.
31,B,"I a or, or foreign cars actually. Uh,","B|I a or, or foreign cars actually. Uh,"
32,M,What about?,M|What about?
33,B,"Uh,","B|Uh,"
34,M,I like the Nissan.,M|I like the Nissan.
35,B,its reliability.,B|its reliability.
36,M,I have never heard that.,M|I have never heard that.
37,B,"Its reliability. And, uh, I, you know, I've read all the CONSUMER REPORTS and things, and they just run head and shoulders above the American made cars. If Ford was a head and the shoulders above it, I'd buy a Ford.","B|Its reliability. And, uh, I, you know, I've read all the CONSUMER REPORTS and things, and they just run head and shoulders above the American made cars. If Ford was a head and the shoulders above it, I'd buy a Ford."
38,M,But... but... but Ford...,M|But... but... but Ford...
39,B,"But I had, uh, had a Ford Escort that absolutely needed taps the day we got it.","B|But I had, uh, had a Ford Escort that absolutely needed taps the day we got it."
40,M,And you had a Pontiac Aztek in the 80's.,M|And you had a Pontiac Aztek in the 80's.
41,B,"Uh, you know, I mean it was ready for the graveyard.","B|Uh, you know, I mean it was ready for the graveyard."
42,M,"It's not like I had a chance to say that, it's just","M|It's not like I had a chance to say that, it's just"
43,B,And I spent as much on that car in twelve months as I spent for the car.,B|And I spent as much on that car in twelve months as I spent for the car.
44,M,I spent a lot of time on that game.,M|I spent a lot of time on that game.
45,B,"So,","B|So,"
46,M,"But, you know, I was.","M|But, you know, I was."
47,B,"and that was just trying to hold us, getting out of that was a used car.","B|and that was just trying to hold us, getting out of that was a used car."
48,M,"Well, it's not like we have a choice.","M|Well, it's not like we have a choice."
49,B,"And it was an older car,","B|And it was an older car,"
50,M,I think you have a problem,M|I think you have a problem
51,B,"but, you know, Escort is supposed to have a great track record as far as sales.","B|but, you know, Escort is supposed to have a great track record as far as sales."
52,M,I don't think they'll be cheap. I'd rather have a car with a great history than a car that's been abused and abused for years.,M|I don't think they'll be cheap. I'd rather have a car with a great history than a car that's been abused and abused for years.
53,B,"But it's just, it just was not and you get stung a time or two,","B|But it's just, it just was not and you get stung a time or two,"
54,M,"But you know, it was a car","M|But you know, it was a car"
55,B,"and you say, no thanks.","B|and you say, no thanks."
56,M,"It's not a scam, it's a deal","M|It's not a scam, it's a deal"
57,B,"So, I just trusted the CONSUMER REPORTS and the auto, uh, reports","B|So, I just trusted the CONSUMER REPORTS and the auto, uh, reports"
58,M,Yeah. I got it from a consumer.,M|Yeah. I got it from a consumer.
59,B,"had my son who knows a lot about that, study them thoroughly, and he gave me four choices of cars to buy","B|had my son who knows a lot about that, study them thoroughly, and he gave me four choices of cars to buy"
60,M,I think you're confusing this with the car he bought.,M|I think you're confusing this with the car he bought.
61,B,"An Escort definitely was not among them. In fact, there wasn't an American car in there.","B|An Escort definitely was not among them. In fact, there wasn't an American car in there."
62,M,I got an'04 Mustang. I think the best car I've ever owned was a Nissan GT R.,M|I got an'04 Mustang. I think the best car I've ever owned was a Nissan GT R.
63,B,"Uh, the Nissan came and, and we bought the Nissan for functional purposes not what the CONSUMER REPORTS said we should get.","B|Uh, the Nissan came and, and we bought the Nissan for functional purposes not what the CONSUMER REPORTS said we should get."
64,M,Awwww. My Nissan.,M|Awwww. My Nissan.
65,B,"But it served our needs. Uh, later on his reports, the reports that he studied showed that, uh, Nissan was head and shoulders above the rest in the in the class that we were looking for. And that, and I'd rather have a Maxima than a Cadillac. I really would. It's not necessarily prestige,","B|But it served our needs. Uh, later on his reports, the reports that he studied showed that, uh, Nissan was head and shoulders above the rest in the in the class that we were looking for. And that, and I'd rather have a Maxima than a Cadillac. I really would. It's not necessarily prestige,"
66,M,I'm so tired.,M|I'm so tired.
67,B,"but it's comfort. Uh, there's a lot of features on there that are desirable if you're going to pay that kind of money for a car. Uh,","B|but it's comfort. Uh, there's a lot of features on there that are desirable if you're going to pay that kind of money for a car. Uh,"
68,M,Uhhh,M|Uhhh
69,B,Nissan.,B|Nissan.
70,M,What is the difference between a Ford GT and,M|What is the difference between a Ford GT and
71,B,"No. No, no. Nissan is Japanese.","B|No. No, no. Nissan is Japanese."
72,M,No. No. No.No.No.,M|No. No. No.No.No.
73,B,"Uh-huh, uh-huh,","B|Uh-huh, uh-huh,"
74,M,Japanese Nissan?,M|Japanese Nissan?
75,B,uh-huh.,B|uh-huh.
76,M,,M|
77,B,"Yeah. And, uh, if I couldn't have my luxury Maxima then I'd buy me a fancy little red C R X sports car","B|Yeah. And, uh, if I couldn't have my luxury Maxima then I'd buy me a fancy little red C R X sports car"
78,M,"uhuhuh. You know, if you can't afford a Ferrari, you don't have to.","M|uhuhuh. You know, if you can't afford a Ferrari, you don't have to."
79,B,"I mean, you know, every every one of us have two sides","B|I mean, you know, every every one of us have two sides"
80,M,So you have two cars?,M|So you have two cars?
81,B,"Yeah.  Now what about you, if you could have the car that you wanted what would you get","B|Yeah.  Now what about you, if you could have the car that you wanted what would you get"
82,M,"Yeah, but I can't afford it.","M|Yeah, but I can't afford it."
83,B,and why?,B|and why?
84,M,But... you can't have the cat,M|But... you can't have the cat
85,B,Uh-huh.,B|Uh-huh.
86,M,What?,M|What?
87,B,"Uh-huh, uh-huh. Yeah.  See there,","B|Uh-huh, uh-huh. Yeah.  See there,"
88,M,Yeah. Um.,M|Yeah. Um.
89,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
90,M,Uhh... Uh... Uh?,M|Uhh... Uh... Uh?
91,B,"Uh-huh. Uh-huh. Uh-huh. I tell you that's sad too because there one time Ford was the best, that was made.","B|Uh-huh. Uh-huh. Uh-huh. I tell you that's sad too because there one time Ford was the best, that was made."
92,M,Uuhuhuh. Uuhuh uhuhuh,M|Uuhuhuh. Uuhuh uhuhuh
93,B,Really was.,B|Really was.
94,M,It was,M|It was
95,B,"And, uh, I, I really have not seen, now a lot of the American cars actually are, are, parts are produced in foreign countries and assembled here or vice versa.","B|And, uh, I, I really have not seen, now a lot of the American cars actually are, are, parts are produced in foreign countries and assembled here or vice versa."
96,M,"I, uh, I, uh","M|I, uh, I, uh"
97,B,Of course.,B|Of course.
98,M,Are you interested in the car?,M|Are you interested in the car?
99,B,"Okay Uh, at any rate do you have color preferences or what would be the features that you would be looking for?","B|Okay Uh, at any rate do you have color preferences or what would be the features that you would be looking for?"
100,M,"No, I'm fine. I'm just not looking for anything specific.","M|No, I'm fine. I'm just not looking for anything specific."
101,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
102,M,"Hmmm, you?","M|Hmmm, you?"
103,B,"Uh-huh, uh-huh. Yeah. Oh, wow. We like the stuff that glitters","B|Uh-huh, uh-huh. Yeah. Oh, wow. We like the stuff that glitters"
104,M,"Uh, yes.","M|Uh, yes."
105,B,"Good. There's nothing wrong with that. Actually I think probably if I were going to get if I were going to be practical, which doesn't mean I would be,  I would prefer white. Because, simply because it's more visible at night.","B|Good. There's nothing wrong with that. Actually I think probably if I were going to get if I were going to be practical, which doesn't mean I would be,  I would prefer white. Because, simply because it's more visible at night."
106,M,Um... uh... yeah.,M|Um... uh... yeah.
107,B,"And, Uh-huh. Uh-huh. Now the interior, okay, I don't care about the interior just as long as it's not black or red.","B|And, Uh-huh. Uh-huh. Now the interior, okay, I don't care about the interior just as long as it's not black or red."
108,M,Uh,M|Uh
109,B,"But if I had the little red C R X , I guess the interior would have to be black leather and I'd have to live with that. And if I got the C R X it would have to have a real good sound system in it because I'd want that too.","B|But if I had the little red C R X , I guess the interior would have to be black leather and I'd have to live with that. And if I got the C R X it would have to have a real good sound system in it because I'd want that too."
110,M,Huh,M|Huh
111,B,I'd just go back to my teenage years and just throw all my experience to the wind,B|I'd just go back to my teenage years and just throw all my experience to the wind
112,M,,M|
113,B,Uh-huh.,B|Uh-huh.
114,M,"You know, I can go back and talk to my friends.","M|You know, I can go back and talk to my friends."
115,B,Uh-huh.,B|Uh-huh.
116,M,I'm in the same boat. I'm going to hang out with my mom.,M|I'm in the same boat. I'm going to hang out with my mom.
117,B,That's okay.,B|That's okay.
118,M,Um.huh.,M|Um.huh.
119,B,"No, no, no. I generally would uh, prefer to listen to, uh, well, I listen to K C B I a lot but I will listen to the news and the, and the traffic and those things at work.","B|No, no, no. I generally would uh, prefer to listen to, uh, well, I listen to K C B I a lot but I will listen to the news and the, and the traffic and those things at work."
120,M,"Okay, um, I'll be here.","M|Okay, um, I'll be here."
121,B,"But if I'm going to be traveling in that car for any period of time, I want some real good classical music.","B|But if I'm going to be traveling in that car for any period of time, I want some real good classical music."
122,M,"Hmmm. Uh, I dunno.","M|Hmmm. Uh, I dunno."
123,B,"I love classical music, and you just can't enjoy it unless you've got a good sound system to produce all the, all the characteristics of the instruments.","B|I love classical music, and you just can't enjoy it unless you've got a good sound system to produce all the, all the characteristics of the instruments."
124,M,,M|
125,B,"So I do love classical music or it or, or, uh, contemporary classical.","B|So I do love classical music or it or, or, uh, contemporary classical."
126,M,What do you love about classical music?,M|What do you love about classical music?
127,B,Uh-huh.,B|Uh-huh.
128,M,"What is this, a crossover episode?","M|What is this, a crossover episode?"
129,B,Sure do.,B|Sure do.
130,M,"Oh, hey.","M|Oh, hey."
131,B,"W R R and the Oasis are the two that I listen to, more than anything else.","B|W R R and the Oasis are the two that I listen to, more than anything else."
132,M,Do you listen to anything else?,M|Do you listen to anything else?
133,B,"And I do like them. And I'd like to have a compact disc player in the car. That would be,  something that I would really like.","B|And I do like them. And I'd like to have a compact disc player in the car. That would be,  something that I would really like."
134,M,I'd like the oasis,M|I'd like the oasis
135,B,"Those compact discs,  really are good for cars because they don't melt,","B|Those compact discs,  really are good for cars because they don't melt,"
136,M,I like the ones that come with the ones I bought.,M|I like the ones that come with the ones I bought.
137,B,they don't warp.,B|they don't warp.
138,M,"I have a nice compact disc, I love it. I don't think it is worth the price.","M|I have a nice compact disc, I love it. I don't think it is worth the price."
139,B,"You know, there's nothing in there that can wrap around the, the, uh, rollers or anything. It seems like a really good answer to portable music, that you can choose.","B|You know, there's nothing in there that can wrap around the, the, uh, rollers or anything. It seems like a really good answer to portable music, that you can choose."
140,M,"I've never heard of this before, but I can't help but wonder what it is.","M|I've never heard of this before, but I can't help but wonder what it is."
