,Speaker,Utterance,Unified
5,B,Right,B|Right
50,M,"So, uh, what are you going to do when you're done?","M|So, uh, what are you going to do when you're done?"
51,B,Yeah.,B|Yeah.
52,M,He chuckles.,M|He chuckles.
53,B,"Well, that's happened before.","B|Well, that's happened before."
54,M,They have been known to steal your food.,M|They have been known to steal your food.
55,B,"But we like good uh, we're, we like Mexican food.","B|But we like good uh, we're, we like Mexican food."
56,M,"I like it, but I'm not sure why.","M|I like it, but I'm not sure why."
57,B,"And stuff like that. And so, um,","B|And stuff like that. And so, um,"
58,M,"Oh, uh, yeah.","M|Oh, uh, yeah."
59,B,A health food?,B|A health food?
60,M,"We like, eat, uh, food.","M|We like, eat, uh, food."
61,B,"Like, like, name one","B|Like, like, name one"
62,M,I don't know. I'm not a doctor.,M|I don't know. I'm not a doctor.
63,B,I'm not sure what you're talking about.,B|I'm not sure what you're talking about.
64,M,Are you talking about the food or the food?,M|Are you talking about the food or the food?
65,B,Huh.,B|Huh.
66,M,They're called'rood,M|They're called'rood
67,B,"I don't guess I've ever been to anything like that so, I really don't have anything to compare it to.","B|I don't guess I've ever been to anything like that so, I really don't have anything to compare it to."
68,M,No. Why is it?,M|No. Why is it?
69,B,"It would be good I think,","B|It would be good I think,"
70,M,I think they would be.,M|I think they would be.
71,B,"uh, I don't know how expensive they are. It sounds like that it would probably,","B|uh, I don't know how expensive they are. It sounds like that it would probably,"
72,M,"Hmm, I wonder if they're expensive.","M|Hmm, I wonder if they're expensive."
73,B,For one person?,B|For one person?
74,M,"I don't think so, I got a deal","M|I don't think so, I got a deal"
75,B,Oh,B|Oh
76,M,A lot of people have a small family.,M|A lot of people have a small family.
77,B,A bit,B|A bit
78,M,How about you?,M|How about you?
79,B,"Yeah, I, I won't really be interested in going to, in going there. Because, I feel like I'm, I'm paying, you know, five dollars for the food probably and five dollars for something that I could get along quite well without","B|Yeah, I, I won't really be interested in going to, in going there. Because, I feel like I'm, I'm paying, you know, five dollars for the food probably and five dollars for something that I could get along quite well without"
80,M,"You could, uh, not be interested.","M|You could, uh, not be interested."
81,B,"Yeah. Maybe, maybe that. Yeah.","B|Yeah. Maybe, maybe that. Yeah."
82,M,I'll show them.,M|I'll show them.
83,B,"Yeah.  I could see that, then maybe.","B|Yeah.  I could see that, then maybe."
84,M,"Maybe, I could","M|Maybe, I could"
85,B,"Yeah, I like the, the seafood that they, when they had it, you know, the broiled,","B|Yeah, I like the, the seafood that they, when they had it, you know, the broiled,"
86,M,"You know, I think it's pretty cool.","M|You know, I think it's pretty cool."
87,B,"Yeah. Probably that's true. But I know a lot of their, a lot of their specials sometimes are fried things, that you can't really get away from the fried,","B|Yeah. Probably that's true. But I know a lot of their, a lot of their specials sometimes are fried things, that you can't really get away from the fried,"
88,M,"Well,","M|Well,"
89,B,Now why would you go to a seafood restaurant to eat chicken?,B|Now why would you go to a seafood restaurant to eat chicken?
90,M,I know,M|I know
91,B,"That's one of my husband's pet peeves. He doesn't understand why somebody would go to a seafood place and eat either chicken or steak, you know.","B|That's one of my husband's pet peeves. He doesn't understand why somebody would go to a seafood place and eat either chicken or steak, you know."
92,M,Fish and chips.,M|Fish and chips.
93,B,"Oh, really?","B|Oh, really?"
94,M,"No, they don't.","M|No, they don't."
95,B,"Oh, catfish is wonderful.","B|Oh, catfish is wonderful."
96,M,The north.,M|The north.
97,B,"Oh, really.","B|Oh, really."
98,M,They're all amazing.,M|They're all amazing.
99,B,Really.,B|Really.
100,M,really really,M|really really
101,B,Why?,B|Why?
102,M,I'll be here.,M|I'll be here.
103,B,Oh. Huh.,B|Oh. Huh.
104,M,There's a lot of water in the ocean.,M|There's a lot of water in the ocean.
105,B,"That's too bad, because I'm probably not going to stop eating it","B|That's too bad, because I'm probably not going to stop eating it"
106,M,I have been told that I can eat it without a problem.,M|I have been told that I can eat it without a problem.
107,B,Uh-huh. Yeah.,B|Uh-huh. Yeah.
108,M,I like chicken.,M|I like chicken.
109,B,That's true.,B|That's true.
110,M,"I don't know, I don't like being on the look out for people I'm worried about.","M|I don't know, I don't like being on the look out for people I'm worried about."
111,B,"Oh, on one hand I see that and on the other hand, uh, my older sister remembers when, uh, at one point they were taking radioactive wastes and storing them in tin barrels which I guess, had a half-life of, oh, five years if they sit empty on dry land.","B|Oh, on one hand I see that and on the other hand, uh, my older sister remembers when, uh, at one point they were taking radioactive wastes and storing them in tin barrels which I guess, had a half-life of, oh, five years if they sit empty on dry land."
112,M,"Yeah, that's why I'm confused.","M|Yeah, that's why I'm confused."
113,B,So they're putting radioactive waste in it which reduces it dramatically.,B|So they're putting radioactive waste in it which reduces it dramatically.
114,M,"Well, it's not really a nuclear weapon, so there's that.","M|Well, it's not really a nuclear weapon, so there's that."
115,B,And then they take these things that will rust and they throw them in the ocean which is going to speedup the process even more.,B|And then they take these things that will rust and they throw them in the ocean which is going to speedup the process even more.
116,M,"Uhhh, they","M|Uhhh, they"
117,B,Oh. And then they wouldn't think. They were floating around so they shot holes in them to sink them.,B|Oh. And then they wouldn't think. They were floating around so they shot holes in them to sink them.
118,M,I think that's how they got the radiation.,M|I think that's how they got the radiation.
119,B,And this is before I was born.,B|And this is before I was born.
120,M,You were born in 1988.,M|You were born in 1988.
121,B,"So, I mean we're taking thirty years ago, this happened,","B|So, I mean we're taking thirty years ago, this happened,"
122,M,Yes. We did.,M|Yes. We did.
123,B,"and, and who's, you know, the tuna is radioactive to a certain extent.","B|and, and who's, you know, the tuna is radioactive to a certain extent."
124,M,"Oh, I know, I was just wondering.","M|Oh, I know, I was just wondering."
125,B,"You can't get away from it so I think, To some point,","B|You can't get away from it so I think, To some point,"
126,M,But what's the label on the label?,M|But what's the label on the label?
127,B,"yeah,  you know. So there's, you know, there's some things I think we can we, you know we can't avoid for health purposes and some things that we just need to like, you know, this is not in my control.","B|yeah,  you know. So there's, you know, there's some things I think we can we, you know we can't avoid for health purposes and some things that we just need to like, you know, this is not in my control."
128,M,"Yeah, that's why I said it.","M|Yeah, that's why I said it."
129,B,"So I'm either going to be, I'm either going to starve to death or I'm going to get over it and just go ahead and eat as healthily as I possibly can, you know.","B|So I'm either going to be, I'm either going to starve to death or I'm going to get over it and just go ahead and eat as healthily as I possibly can, you know."
130,M,I don't think so.,M|I don't think so.
