,Speaker,Utterance,Unified
5,M,How many of them were students?,M|How many of them were students?
38,B,"Uh, it depends. It, it's, has decent national coverage, but has an extremely focused political coverage, probably steeped in,  the southern history and the fact that this is a Democratic State.","B|Uh, it depends. It, it's, has decent national coverage, but has an extremely focused political coverage, probably steeped in,  the southern history and the fact that this is a Democratic State."
39,M,It's the?,M|It's the?
40,B,"And, uh, consequently everything is filtered through that, uh, Republican Democratic sort of, glass, almost unnecessarily","B|And, uh, consequently everything is filtered through that, uh, Republican Democratic sort of, glass, almost unnecessarily"
41,M,Local,M|Local
42,B,so.,B|so.
43,M,"It's, uh, political.","M|It's, uh, political."
44,B,"Yeah, we, we have, that is, uh, as a matter of fact they update it once a week with a special section, we, and we pay it sort of glancing nod. We, uh, have a very good friend who is, uh, tapped into the city planning structure. Uh, our developer architect friend and,","B|Yeah, we, we have, that is, uh, as a matter of fact they update it once a week with a special section, we, and we pay it sort of glancing nod. We, uh, have a very good friend who is, uh, tapped into the city planning structure. Uh, our developer architect friend and,"
45,M,"I,","M|I,"
46,B,"Right. So, I think we find out what's happening in the city, uh, on a fairly frequent basis, over a, over a gin and tonic sort of thing.","B|Right. So, I think we find out what's happening in the city, uh, on a fairly frequent basis, over a, over a gin and tonic sort of thing."
47,M,I think.,M|I think.
48,B,"Uh, and that probably gives us a better insight as to the city of Raleigh than, than the paper would have anyway.","B|Uh, and that probably gives us a better insight as to the city of Raleigh than, than the paper would have anyway."
49,M,You?,M|You?
50,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
51,M,,M|
52,B,Uh-huh.,B|Uh-huh.
53,M,It,M|It
54,B,"Is that right? I'll heard there was some stuff on the, on the radio that was equivalent to C N N.","B|Is that right? I'll heard there was some stuff on the, on the radio that was equivalent to C N N."
55,M,I think it's the radio.,M|I think it's the radio.
56,B,Okay.,B|Okay.
57,M,C n N.,M|C n N.
58,B,Okay.,B|Okay.
59,M,"I'll be back, I'll be around.","M|I'll be back, I'll be around."
60,B,"Oh,  That didn't, uh,","B|Oh,  That didn't, uh,"
61,M,You.,M|You.
62,B,Uh-huh.,B|Uh-huh.
63,M,"I'm not really, I'm,","M|I'm not really, I'm,"
64,B,"Uh, we probably were listening to C N N fairly heavily before the war broadcasts began. Uh, we almost live and, and breathed it for, because during the war itself to the point where we began to sort of have household pact of lets turn the war off and get something done.","B|Uh, we probably were listening to C N N fairly heavily before the war broadcasts began. Uh, we almost live and, and breathed it for, because during the war itself to the point where we began to sort of have household pact of lets turn the war off and get something done."
65,M,N,M|N
66,B,"Uh, almost an addition, uh, and, and, and we could equate or relate relay well to some of the newspaper and television articles about the fact that people where having this problem in, in unhooking, uncoupling from the events, and going on with their. So,","B|Uh, almost an addition, uh, and, and, and we could equate or relate relay well to some of the newspaper and television articles about the fact that people where having this problem in, in unhooking, uncoupling from the events, and going on with their. So,"
67,M,,M|
68,B,"instead of being, watching the missiles and being glued to the tube or whatever. Uh, and because of that we began towards the middle and of the war, I guess about two and a half or three weeks in, we began to restrict our news almost deliberately where we would, uh, watch, uh, fifteen minutes before, fifteen minutes after six our time which would be national news, or our local news. We would watch C N N until six thirty, then we would watch, uh, a rotating network news of either, uh, A B C, C B S, or N B C and we, we sort of just rotated around the dial each night a different one.","B|instead of being, watching the missiles and being glued to the tube or whatever. Uh, and because of that we began towards the middle and of the war, I guess about two and a half or three weeks in, we began to restrict our news almost deliberately where we would, uh, watch, uh, fifteen minutes before, fifteen minutes after six our time which would be national news, or our local news. We would watch C N N until six thirty, then we would watch, uh, a rotating network news of either, uh, A B C, C B S, or N B C and we, we sort of just rotated around the dial each night a different one."
69,M,,M|
70,B,"and then we would turn the television off and we were sort of limiting or dieting ourselves on, on news that way. And, then we would do a similar thing, uh, at uh, ten forty-five because, uh, C N N would be wrapping their hourly coverage up and then we would get the local coverage, uh, and then I think the local coverage we would tend to watch the same station that would, would have better state coverage rather than local coverage. Uh, three of the networks here, on their local news, uh, that if, if you wish to listen at eleven o'clock you can find out who raped who, murdered who, or stole what. from whom.","B|and then we would turn the television off and we were sort of limiting or dieting ourselves on, on news that way. And, then we would do a similar thing, uh, at uh, ten forty-five because, uh, C N N would be wrapping their hourly coverage up and then we would get the local coverage, uh, and then I think the local coverage we would tend to watch the same station that would, would have better state coverage rather than local coverage. Uh, three of the networks here, on their local news, uh, that if, if you wish to listen at eleven o'clock you can find out who raped who, murdered who, or stole what. from whom."
71,M,:Yeah.adays.,M|:Yeah.adays.
72,B,"And, that was the sort of thing that I would say is the best MUMBLEx and not news","B|And, that was the sort of thing that I would say is the best MUMBLEx and not news"
73,M,.'s,M|.'s
74,B,"unless there's some trend or something that says, Jesus this neighborhood has been hit forty-seven times or whatever. Uh, that's, that's sort of more of, of a pattern news.","B|unless there's some trend or something that says, Jesus this neighborhood has been hit forty-seven times or whatever. Uh, that's, that's sort of more of, of a pattern news."
75,M,We.,M|We.
